Tokens,Count
distribution,21
established,12
HIV testing,1
prostitutes,2
homosexuals,2
adolescents,6
condom use,2
Condom use,1
knowledge,22
incidence,35
increased,73
high risk,2
reporting,11
increases,13
epidemic,2
attitude,2
practice,15
Syphilis,1
partners,5
Control,3
Program,5
Jamaica,2
monitor,6
Primary,3
regular,19
partner,2
condoms,3
clinic,20
female,25
groups,164
annual,7
around,2
period,57
adults,29
condom,2
Women,12
inner,1
sales,1
late,14
food,15
less,52
aged,46
city,2
Bay,1
sex,35
Gay,1
enzyme-linked immunosorbent assay,2
herpes simplex virus type 1,1
predisposing factors,1
herpes labialis,1
grading system,1
immunoglobulin,1
antibody titer,1
Seven hundred,1
control group,56
facial palsy,7
risk factors,40
prevention,9
considered,35
antibodies,4
maintained,5
evolution,3
recurrent,14
paralysis,1
3 grade,1
acyclovir,1
recovered,1
anatomic,9
possible,19
specific,35
referred,32
delayed,26
history,24
lesions,25
3 weeks,1
patient,100
therapy,44
labial,2
facial,5
dates,2
onset,29
House,1
Virus,1
HSV-1,1
grade,20
IgM,3
IgG,3
percutaneous transhepatic biliary drainage,1
Gallbladder carcinoma,1
gallbladder carcinoma,1
palliative treatment,1
Surgical resection,1
anterior-posterior,1
performance status,2
gallbladder cancer,1
poor prognosis,2
right lateral,1
radiotherapy,23
unresectable,3
percutaneous,7
transhepatic,1
ineffective,1
literature,14
laparotomy,7
palliative,3
laboratory,10
fractions,4
permanent,4
12 months,8
abdominal,10
extension,3
adjuvant,4
external,6
fraction,6
present,40
choice,7
intent,6
5 days,2
weekly,6
follow,87
field,6
total,118
local,35
tumor,18
role,21
case,36
good,18
old,15
cGy,2
CTs,2
far,5
ventricular dysfunction,2
systolic blood pressure,4
emergency department,7
hospital mortality,5
pulmonary embolism,2
oxygen saturation,1
cardiac troponin,2
clinical course,4
chart review,6
presentation,12
thrombolysis,3
Thirty-three,3
complicated,4
ventilation,11
One hundred,7
hypotension,2
prediction,1
mechanical,7
identified,63
odds ratio,28
confirmed,27
elevated,25
Clinical,9
included,86
Elevated,4
purpose,39
testing,16
serious,10
events,7
normal,38
April,7
right,14
vital,3
pulse,3
cTnI,12
need,14
patient satisfaction,8
external fixation,1
local anesthesia,1
fracture types,1
satisfaction,8
intervention,28
Twenty-eight,6
application,6
classified,19
isolated,11
Patients,70
fracture,21
effects,47
10 days,5
5 types,1
surgery,101
average,37
closed,4
timing,11
trauma,16
survey,30
severe,42
nasal,1
month,13
happy,5
Only,22
male,18
mild,17
day,47
attending physician,1
Gastroenterology,1
size perception,1
body mass index,15
questionnaire,27
normal weight,2
Likert scale,1
descriptions,3
perceptions,4
percentiles,1
categorized,8
underweight,3
description,2
physicians,12
body image,2
overweight,3
calculated,29
Forty-four,1
body size,3
Pediatric,3
unrelated,2
completed,25
reference,7
standards,3
estimates,14
perceived,10
children,91
measured,60
Accuracy,3
parents,19
doctors,9
percent,23
several,16
Clinic,3
Weight,1
height,4
scale,11
given,32
obese,25
body,8
seen,31
clinical characteristics,3
salivary gland diseases,1
immunodeficiency virus,2
floor of mouth,1
anatomical sites,1
clinical study,3
oral mucocele,1
HIV positive,2
Thirty-eight,2
information,29
Seventy-two,1
HIV status,1
mucoceles,2
following,38
frequency,22
locations,4
mucocele,1
Mucocele,1
negative,39
ranulas,6
females,24
tongue,1
simple,5
Ranula,1
ranula,1
focus,10
human,12
males,28
oral,17
data,106
well,40
Most,11
peak,22
lips,1
risk,93
lip,1
common iliac artery,1
magnetic resonance,8
abdominal aorta,3
MR angiography,2
concentrations,28
iliac arteries,1
image quality,3
angiography,2
gadolinium,1
assigned,10
original,5
amounts,4
blinded,7
single,17
common,31
major,16
noise,5
ratio,33
image,10
lower,63
oral hypoglycemic agents,1
oral hypoglycemic,1
treatment failure,1
type 2 diabetes,6
sulfonylurea,2
primary care,7
postprandial,1
hypoglycemic,2
twice daily,1
weight gain,4
controlled,12
hemoglobin,4
medication,5
metformin,10
unchanged,8
Increased,2
baseline,53
adjusted,27
measures,22
symptoms,52
improved,20
failures,3
insulin,10
bedtime,1
Persons,2
disease,56
maximal,8
dosages,1
Insulin,2
fasting,4
Outcome,4
general,14
mmol/L,5
weight,27
label,1
alone,15
HbA1c,3
equal,12
Open,1
mmol,6
fear,1
Fear,1
self,28
NPH,1
somatosensory evoked potentials,1
intraoperative monitoring,1
motor evoked potentials,1
intensive care unit,8
respiratory arrest,2
cerebral function,1
thoracoabdominal,1
aortic aneurysms,1
blood pressure,11
intraoperative,9
Postoperative,3
resuscitation,2
manipulation,3
paraparesis,2
strategies,6
paraplegia,3
anesthetic,2
dissection,7
lower body,1
ambulatory,4
involving,7
segmental,4
sacrifice,2
Operative,4
immediate,8
resulting,5
arteries,5
thoracic,3
ischemia,18
October,8
6 hours,2
repair,18
poorly,3
serial,2
artery,5
median,64
4 days,2
course,10
endotracheal intubation,1
flexible endoscope,2
general anesthesia,3
gastrojejunostomy,1
peritoneal cavity,3
intraperitoneal,5
peritoneoscopy,1
tubal ligation,1
electrocautery,2
complications,43
Visualization,1
liver biopsy,3
transgastric,3
mobilization,4
therapeutic,12
splenectomy,6
experiments,2
endoscopic,5
Endoscopic,2
procedure,25
endoscope,2
mesentery,1
dissected,3
available,23
approach,11
puncture,3
extended,3
incision,3
advanced,20
entrance,1
Ligation,1
porcine,1
animals,10
liquids,1
stomach,5
gastric,3
channel,3
splenic,2
vessels,2
devices,8
3 days,3
needle,9
create,4
spleen,4
organs,1
model,40
knife,1
loops,1
clips,1
goal,9
pigs,4
wall,3
pull,1
air,4
bone morphogenetic protein 2,1
cardiovascular risk factor,2
Arterial calcification,1
arterial calcification,2
arteriovenous fistula,1
immunohistochemistry,7
matrix Gla protein,1
global assessment,1
Nutrition status,1
radial arteries,1
radial artery,1
serum albumin,1
relationships,10
hemodialysis,6
relationship,52
malnutrition,2
quantitative,5
western blot,1
biochemical,8
Hematoxylin,1
depositions,2
expressions,4
subjective,6
structures,4
phosphorus,3
surgeries,2
calcified,4
involved,14
modified,9
arterial,4
Alizarin,1
classify,3
detected,33
Related,1
methods,15
calcium,2
product,2
series,12
medial,2
serum,28
eosin,1
stain,2
layer,2
areas,18
And,1
red,1
calcification,2
Serum follicle stimulating hormone,1
human chorionic gonadotrophin,2
complete hydatidiform mole,1
trophoblastic disease,2
statistical analysis,5
university hospital,3
stage of pregnancy,1
hydatidiform mole,2
public hospitals,1
follicular phase,1
menstrual cycles,1
pregnant women,13
serum inhibin,3
observations,2
Correlation,5
evacuation,7
persistent,2
suppressed,3
analysis,85
followed,20
inhibin,4
hormone,4
cytosol,1
months,95
viable,1
large,19
Japan,1
newly,7
molar,4
Serum,4
mole,3
twin,1
None,9
new,20
complex partial seizures,1
antiepileptic drugs,2
therapeutic range,2
outpatients,3
generalized,7
zonisamide,1
Zonisamide,1
epileptic,1
caregiver,2
myoclonia,1
tolerance,4
epilepsy,2
reports,11
seizure,6
Safety,2
Plasma,2
adult,14
types,19
tonic,2
Good,2
mg/L,1
outcome measure,7
follow-up visit,3
implantation,8
consensus,9
variation,2
Medicare,12
eligible,11
attended,6
minimum,10
initial,34
device,12
person,10
Follow,2
weeks,33
white,14
black,9
trend,17
June,10
main,14
randomized controlled trial,4
controlling pain,1
self-management,2
pain control,3
Experimental,2
Sixty-seven,2
minorities,5
enrollment,3
secondary,16
education,19
physician,19
Minority,1
minority,4
coaching,2
speaking,4
moderate,11
increase,47
scripted,1
reducing,5
reflect,3
English,7
2 weeks,5
cancer,15
minute,13
worse,11
pain,46
part,11
Data,28
week,22
Patient Health Questionnaire-9,1
depressive symptoms,3
standard deviation,4
visual impairment,2
vision impairment,2
psychometric,1
participants,27
differential,1
investigate,40
functioning,3
low vision,1
thresholds,8
categories,4
confirming,1
disability,6
separation,1
possesses,1
essential,4
initially,11
depressed,4
Residual,1
measure,18
degrees,5
freedom,2
persons,14
people,11
Almost,2
visual,7
middle,7
fit,8
eye,9
Fit,1
extracorporeal shock wave lithotripsy,1
intravenous urography,1
kidney ultrasound,1
infundibulum,6
Three months,1
renal pelvis,1
lithotripsy,1
containing,6
fragments,2
described,5
lower lip,1
parameter,4
relation,15
3 months,10
residual,7
distance,8
calculus,1
calculi,2
benefit,11
success,11
removal,8
length,12
Height,1
renal,6
X-ray,10
angle,5
width,7
minor,7
calyx,1
point,15
scan,5
free,30
line,14
pre,19
College of American Pathologists,1
squamous cell carcinoma,5
urothelial carcinoma,1
carcinoma in situ,1
cytotechnologist,1
Interlaboratory,1
urine cytology,1
interpretation,4
pathologists,1
performance,33
Participant,1
pathologist,3
Concordance,1
Comparison,3
challenges,3
specimens,27
malignant,8
responses,15
dysplasia,1
Cytology,1
category,11
classic,4
Classic,1
urinary,5
liquid,4
smears,3
slide,3
urine,6
exact,10
Cytotechnologists,1
health centre,1
hypertensive,10
hypertension,14
diastolic BP,1
systolic BP,6
measurement,10
sensitivity,23
specificity,13
probability,17
predictive,15
community,17
carried,15
village,1
centres,3
health,28
nurse,4
Spain,2
area,38
mmHg,11
May,7
NPV,3
gastrointestinal bleed,1
capsule endoscopy,1
African-American,1
ileocecal valve,1
Indications,2
small bowel,9
strictures,2
Thirty-two,1
retrograde,2
antegrade,4
pathology,5
bleeding,9
findings,43
minutes,11
pylorus,1
sources,5
Crohn's,1
anemia,6
meters,1
biopsy,20
March,8
Video,1
form,6
Roswell Park Cancer Institute,1
Cancer of buccal mucosa,1
neoplasm of oral cavity,1
surgical resection,3
tissue fixation,1
buccal mucosa,1
demographics,10
oral cavity,1
recurrence,21
carcinoma,3
resection,19
uncommon,4
majority,13
registry,4
database,14
criteria,48
cancers,15
failure,18
buccal,3
tumors,26
lesion,12
small,18
Less,2
mass,5
5 mm,2
surgical margins,3
discharge instructions,2
comprehension,7
understanding,3
discrepancies,1
instructions,7
concordance,9
understand,4
interviews,5
caregivers,8
difficulty,8
objective,16
discharge,18
awareness,11
agreement,11
deficient,3
complete,21
deficits,3
authors,12
minimal,4
partial,11
Greater,2
recall,3
scored,4
failed,13
final,15
able,8
care,59
post,28
structured diagnostic interview,1
musculoskeletal pain,1
analysis of variance,6
experimental study,2
Headache Disorders,1
repeated measures,5
chronic headache,1
Classification,2
International,3
chronic pain,1
environment,7
emotional,11
migraine,8
research,15
headache,23
stimulus,3
reaction,7
Migraine,1
studies,51
focused,6
chronic,23
Limited,1
edition,3
biases,2
attend,1
Prior,6
mixed,10
probe,2
bias,8
lack,6
clinical examination,4
general surgery,6
self-assessment,1
examination,22
evaluations,4
objectives,4
rotations,2
delivery,11
rotation,7
Students,8
students,24
written,3
scores,48
ward,15
utilization,3
increasing,21
Physiology,2
educators,2
scheduled,3
attending,11
lectures,7
Graduate,1
Medicine,3
separate,7
academic,8
concern,4
student,5
lecture,4
video,2
Entry,1
infectious diseases,2
haemagglutination,1
humoral immunity,1
inhibition test,1
short duration,1
concentration,9
encephalitis,1
insufficient,3
vaccination,5
field study,1
recommended,15
diphtheria,1
frequently,15
vaccinated,4
influenza,10
Antibody,1
antibody,4
tetanus,1
Disease,2
cities,2
young,18
frail,1
many,6
due,7
low,47
testicular atrophy,1
Testicular atrophy,1
cryptorchidism,1
Intraabdominal,1
postoperative,35
orchiopexy,4
individual,11
testicular,1
dependent,10
testicles,1
variable,18
testicle,1
inguinal,2
location,18
atrophy,12
testis,4
charts,5
testes,2
times,14
long,3
diabetes mellitus,8
serum creatinine,1
Five hundred,1
Laboratory,1
serum urea,1
pregnancy,20
Group 1,13
group 3,5
group 1,7
parity,9
GFR,2
Simplified Disease Activity Index,1
drug concentration,2
pharmacokinetics,1
Biologic Therapy,1
corticosteroid,4
administration,6
investigated,26
assessments,5
foot joints,1
injections,5
assessment,30
synovitis,6
Inclusion,2
remission,13
previous,17
Doppler,8
plasma,11
trough,4
joints,3
Global,2
active,26
joint,3
agent,1
power,7
ankle,1
Unit,3
mode,14
hand,6
TNF,6
DAS,1
National Health Interview Survey,2
Affordable Care Act,1
logistic regression,27
answered questions,1
ADL assistance,1
socioeconomic,7
assistance,3
interested,2
purchasing,1
voluntary,4
insurance,9
estimated,18
ethnicity,6
services,4
estimate,13
coverage,2
interest,9
benefits,12
maximum,13
monthly,7
willing,3
weights,5
Sample,1
public,6
income,13
family,11
CLASS,3
Adult,2
cover,1
said,2
race,7
pay,2
Activity of Daily Living,1
risk factors assessed,1
prevention strategies,1
visual assessment,2
Medical records,6
rehabilitation,2
documentation,6
osteoporosis,3
falls risk,4
inpatient,5
preceding,1
admission,16
Discharge,1
footwear,1
mobility,6
strength,10
Personal,1
training,29
strategy,4
records,14
limited,7
2 years,9
Common,2
falls,1
home,15
fall,5
5-9,2
fine-needle aspiration biopsy,1
thyroid nodules,2
ultrasonography,8
chi-square test,4
thyroid nodule,2
side effects,12
statistical,11
side effect,2
compression,12
aspiration,8
hemorrhage,4
injection,10
complaint,2
revealed,20
ethanol,5
Student,6
numbers,3
benign,8
cystic,4
t test,6
except,8
fluid,7
Pain,2
ankylosing spondylitis,1
age of onset,1
knee joints,1
dysfunction,1
Caucasians,1
peripheral,6
arthritis,1
Juvenile,1
New York,3
juvenile,5
Indian,2
forms,5
Case,3
drug,5
rest,6
see,1
hip,14
sexual behaviour,3
questionnaires,11
HIV infection,1
Cohort Study,1
mechanisms,3
regression,16
estimating,1
unsafe sex,2
diagnoses,8
practices,12
beginning,3
equations,2
infected,5
changing,6
6 months,3
3 years,4
Females,2
cohort,27
likely,37
report,14
Swiss,2
abdominal distension,1
final diagnosis,3
institution,15
prematurity,1
anomalies,4
November,11
meconium,2
neonatal,7
Infants,4
infants,29
birth,17
stool,2
ARM,7
malformation,1
external beam radiation,1
lymph node metastases,3
Clinical evaluation,1
perineural invasion,1
surgical treatment,10
complete response,3
rectal carcinoma,1
5-fluorouracil,2
rectal tumors,3
Preoperative,4
folinic acid,1
Thirty-nine,3
recurrences,1
incomplete,1
Fifty-two,1
tethered,4
radical,6
CRT,4
mid,8
<50,1
alcohol consumption,8
home environment,1
early pregnancy,2
follow-up study,2
binge drinking,4
motor function,8
alcohol intake,1
health status,7
participation,14
Birth Cohort,1
maternal age,1
association,43
Assessment,4
systematic,3
potential,26
postnatal,2
organized,1
episodes,21
maternal,22
Movement,1
Children,14
Parental,2
prenatal,4
sampled,4
Battery,1
hearing,6
mothers,17
respect,14
Danish,2
tester,1
child,12
binge,4
sport,1
core,9
full,24
Washington state,1
health services,2
unsatisfactory,3
Fluoridation,1
restorations,3
fluoridation,1
communities,1
restoration,2
telephone,6
exposure,17
provider,3
Relative,2
drinking,3
relative,19
supplier,1
spouses,1
dentist,2
induced,17
dental,4
demand,4
Adults,3
Market,1
supply,3
water,6
lives,1
teeth,6
decay,4
When,19
use,76
personal characteristics,1
hospital laboratory,2
general practices,3
general practice,7
anticoagulation,11
anticoagulant,2
gold standard,2
warfarin dose,1
measurements,24
laboratories,9
estimations,1
techniques,6
standard,20
clinics,11
various,11
derived,16
funded,2
method,25
change,27
tests,27
acute appendicitis,11
C-reactive protein,4
Eighty-three,2
appendectomy,7
age groups,4
difficult,6
challenge,2
leukocyte,2
subgroups,3
contained,3
appendix,2
fertile,1
counts,9
postoperative complications,10
gastrointestinal symptoms,3
retrospective study,11
computed tomography,7
gastric stenosis,1
barium swallow,1
Hiatal hernia,1
laparoscopic,12
gastrectomy,2
weight loss,6
inadequate,3
revision,5
Group A,1
Group B,3
stopped,3
sleeve,2
safety,7
fundus,5
upper,5
intra,5
GERD,9
continuous positive airway pressure,1
Pittsburgh Sleep Quality Index,1
idiopathic pulmonary fibrosis,1
Beck Depression Inventory,1
Epworth Sleepiness Scale,1
obstructive sleep apnea,1
Fatigue Severity Scale,1
moderate to severe,3
quality of life,13
nocturnal cough,2
claustrophobia,1
Questionnaire,8
life quality,1
difficulties,6
Improvement,2
initiation,10
Functional,5
published,13
overnight,1
titration,2
effective,31
insomnia,1
Therapy,2
reasons,9
recent,6
sleep,5
Sleep,3
staff,4
IPF,3
FSS,2
BDI,2
polysomnography,1
Event-related potentials,1
infrequent,1
modulated,3
attention,6
positions,4
Emotional,1
position,26
additive,2
prosody,5
spatial,12
fearful,1
Pseudo,1
detect,12
early,33
distilled water,1
effectiveness,9
disinfection,1
establishing,1
putrefactive,1
liquefaction,1
preservative,1
disinfectant,1
constituent,1
observation,11
preserving,3
substances,5
appearance,4
postmortem,6
experiment,7
Experiment,1
Embalming,1
arresting,1
embalming,5
chemical,7
72 hours,5
contains,2
funeral,1
tissues,5
alcohol,16
bodies,3
albino,1
arrest,2
death,22
hours,15
gases,1
life,21
rats,16
art,1
communications,3
Characteristic,1
manifestations,6
considerations,1
pediatricians,2
asphyxiation,2
excitement,1
Voluntary,1
addresses,2
citations,4
causation,3
weighting,3
preteens,1
inducing,3
syndrome,8
Provided,1
distress,1
etiology,4
numerous,4
hanging,1
hypoxia,8
tragedy,1
feeling,2
anoxia,2
states,4
gamble,1
fatal,2
drama,1
lead,4
Information Management Systems,1
Emergency Department,1
health information,1
care delivery,1
cost savings,1
common types,1
chest x-ray,2
body region,1
ultrasounds,1
California,4
ultrasound,23
modalities,2
reflecting,2
reductions,2
redundant,1
decreases,3
emergency,14
Databases,1
exchange,2
adoption,2
imaging,29
Florida,3
Society,3
30 days,6
reduced,29
repeat,10
Health,7
trends,2
x-rays,1
Broad,1
State,2
Using,15
fixed,5
index,26
chest,4
x-ray,2
HIE,7
partial seizure disorder,2
multivariate analysis,19
seizure disorder,1
abnormalities,5
Significance,1
Statistical,9
psychiatric,5
male gender,1
monitoring,16
psychotic,8
bilateral,10
duration,39
tympanic membranes,2
tympanic membrane,1
N-acetylcysteine,1
myringotomies,1
perforations,4
guinea pigs,1
anesthesia,3
0.9% NaCl,1
ketamine,4
straight,1
otologic,1
diameter,18
solution,4
otorrhea,1
topical,1
healing,8
sponges,1
soaked,1
hook,1
2 mm,2
ears,7
end,15
General Practitioner,2
predictive validity,1
clinical skills,1
examinations,10
traditional,12
Selection,2
workplace,1
elements,3
College,3
clear,8
Wales,3
test,55
0.9% sodium chloride,2
catheter insertion,1
pneumoperitoneum,4
oxidative stress,2
malondialdehyde,2
Administration,1
degeneration,3
degenerative,2
prophylactic,8
Immediately,1
reperfusion,17
glutathione,1
antioxidant,2
follicular,2
epithelium,1
edaravone,5
caspase-3,2
Caspase-3,1
Treatment,9
4 groups,1
Group 2,10
ovaries,3
scoring,3
Ovarian,1
ovarian,1
surface,8
Groups,6
saline,10
injury,19
mg/kg,8
route,5
edema,2
ovary,3
min,45
gas,5
MDA,5
TAC,2
cross sectional study,1
outpatient clinic,2
physical function,1
disease duration,4
classification,13
rheumatology,1
Switzerland,3
demographic,17
limitations,6
activity,11
Medical,12
damage,5
Survey,8
Short,6
Form,3
acute myocardial infarction,2
confidence intervals,3
case-control study,4
acute diseases,1
first episode,1
consistent,10
hospitals,6
apparent,6
acute MI,1
admitted,17
multiple,18
Compared,17
inverse,4
outside,2
pattern,13
affect,16
ratios,11
drinks,2
Italy,4
wine,1
reflux oesophagitis,2
oesophagitis,2
intragastric,4
esomeprazole,1
Los Angeles,1
suppression,6
threshold,4
concept,2
4 weeks,6
Maximal,3
fitted,1
proof,1
acid,4
Post,4
Acid,1
visual analog pain scale,1
triamcinolone acetonide,1
controlled study,1
intraarticular,1
painful joints,1
conventional,14
pain scores,5
indwelling,2
pain score,1
palpation,4
introduce,1
lidocaine,2
placement,3
aspirated,1
guidance,2
outcomes,58
aspirate,1
effusion,2
Baseline,4
absolute,3
syringe,7
dilate,1
volume,22
After,3
VAS,22
head and neck cancer,1
highly reliable,1
general health,4
head and neck,8
communication,7
Head and neck,1
swallowing,1
sectional,17
reflected,1
tertiary,12
center,13
Eating,1
speech,1
Cross,7
brief,1
Decision-making,1
emergency care,1
interrupted,1
conferences,1
immediately,8
guidelines,19
paediatric,8
limitation,6
treatments,8
decisions,6
survivals,2
decision,10
meetings,2
opinions,3
informed,2
meeting,4
Parents,3
planned,8
French,2
France,1
others,4
deaths,13
orders,1
6 days,2
PRISM,7
PICU,4
held,2
bed,3
Breast Cancer Screening,1
indigenous people,1
Cancer Registry,1
breast cancers,2
breast cancer,24
Population,1
Statistics,2
Norwegian,3
citizens,2
language,6
accessed,2
invasive,9
Female,4
Norway,5
screen,4
law,5
complementary and alternative medicine,1
deep breathing exercises,1
chronic disease,3
United States,9
body position,1
age adjusted,1
CAM therapy,1
Atkins diet,1
functional,22
unadjusted,4
meditation,1
therapies,5
decreased,25
massage,1
yoga,1
CAM,4
National Health Insurance,1
pain during intercourse,1
general practitioner,8
socioeconomic status,5
educational level,3
outcome measures,9
gynecological,3
cohort study,14
intercourse,1
specialist,7
lifestyle,5
Register,4
Registry,5
contact,14
Denmark,2
Service,1
symptom,8
random,13
alarm,3
Main,4
surgical intervention,2
motion of elbow,1
elbow fractures,1
range of motion,2
radiographic,7
rotational,2
angulation,1
successful,6
Fractures,1
deformity,8
severity,24
carrying,3
humerus,1
coronal,2
shaft,1
none,9
periventricular leukomalacia,1
intraventricular hemorrhage,1
bronchopulmonary dysplasia,1
necrotizing enterocolitis,2
positive blood culture,1
disease severity,7
gestational age,12
antimicrobial,2
considering,1
antibiotic,8
Short-term,1
short-term,4
mg/kg/day,2
Secondary,4
microbial,4
Newborns,1
neonates,3
subgroup,5
regimen,6
Candida,1
hospital length of stay,1
cardiovascular disease,8
myocardial infarction,5
Quality Improvement,1
renal insufficiency,1
blood transfusions,2
hematocrit levels,1
surgical patients,2
normal hematocrit,1
colectomies,2
independent,32
progressive,3
controlling,8
stratifying,1
widespread,2
Hematocrit,1
composite,4
Surgical,4
elective,9
certain,4
classes,1
stroke,31
open,12
LOS,14
Complications,3
metastatic breast cancer,1
bony metastases,1
bone metastases,6
bony metastasis,1
shaft of femur,1
false positive,2
radiologists,6
bone lesions,1
asymptomatic,3
bone scans,1
metastatic,8
solitary,1
abdomen,4
pelvis,8
thorax,3
scans,10
team,5
Retrospective,14
spontaneous,8
Gynaecology,1
Department,3
Obstetrics,1
statistics,6
connection,1
circular,1
phases,2
moon,3
radiation exposure,2
imaging technique,1
image enhancement,1
nephrolithiasis,2
tomosynthesis,1
consistency,2
stone size,1
Stone size,1
September,9
Potential,2
adequate,12
Digital,1
setting,10
allows,4
strong,6
Renal,2
units,5
count,2
size,18
magnetic resonance imaging,12
parietal white matter,2
temporal white matter,2
frontal white matter,1
lateral ventricles,1
systematic review,1
schizophrenia,13
meta-analysis,4
brain regions,1
longitudinal,7
brain region,1
Twenty-seven,3
brain volume,2
white matter,1
gray matter,2
ventricular,3
volumetric,5
progress,4
combined,13
10 years,10
frontal,2
lateral,7
static,8
larger,8
brain,7
gray,1
digital subtraction angiography,1
carotid artery stenosis,2
Doppler ultrasonography,1
diagnostic accuracy,4
reference standard,3
ethics committee,2
informed consent,3
gadofosveset,1
MR angiogram,1
Sensitivity,2
angiograms,1
morphology,7
ulceration,1
data sets,3
approved,2
observer,2
stenosis,8
reading,12
steady,6
plaque,7
tandem,1
kappa,1
cardiovascular risk factors assessed,1
diastolic blood pressures,2
fasting plasma glucose,2
waist circumference,3
total cholesterol,2
surrogate marker,1
differentiating,3
normotensive,3
phenotypes,3
phenotype,1
Africans,1
Nigerian,1
vascular,9
carotid,9
African,3
intima,3
media,6
left,20
laparoscopic cholecystectomy,4
laparoscopic procedures,2
bilirubin levels,1
hyaluronic acid,1
female patients,3
cholelithiasis,1
hexosaminidase,1
cell function,2
normal values,1
symptomatic,10
elevation,4
beta,11
AST,2
ALT,2
Documentation,2
hospitalized,8
Transmission,1
transmission,10
subsequent,18
burn wound,1
documented,7
burn unit,1
isolates,11
cultures,5
episode,4
stream,1
sepsis,3
Blood,3
wound,7
blood,15
burn,3
pancreatic transplantation,1
islets transplantation,1
immune suppression,1
Bariatric surgery,1
treatment option,1
type 1 diabetes,5
graft rejection,1
gastric bypass,5
Gastric bypass,1
pancreatic,3
witnessed,1
metabolic,3
diabetes,12
evolving,1
current,16
complex,5
option,2
search,8
August,10
papers,1
proven,3
shared,1
great,1
bases,1
step,1
surgical blood loss,2
radical cystectomy,2
surgical margin,3
stratification,2
proportional,6
cystectomy,5
Sequential,2
oncologic,2
age group,3
assisted,4
modeling,3
robotic,2
T stage,4
hazard,8
tumour,15
Robot,1
short,9
Cox,12
Rebound acid hypersecretion,1
crossover design,2
regurgitation,1
lansoprazole,4
proton pump,2
inhibitors,5
once daily,1
Sixty-two,1
heartburn,1
endoscopy,3
separated,2
periods,5
antacid,2
follows,7
Reflux,1
Higher,2
reflux,7
STUDY,2
disease stage,1
serum leptin,3
cytological,1
Forty-five,2
untreated,8
oncology,2
Leptin,1
leptin,1
Edinburgh Postnatal Depression Scale,1
Eight hundred and fifty,1
strengthening exercises,1
postnatal depression,1
University Hospitals,1
physiotherapists,1
major depression,1
home exercises,1
antenatal care,2
Randomized,1
exercise,9
probable,2
Scores,1
psychoactive substances,1
psychosocial factors,1
longitudinal study,1
Violence Exposure,1
intrauterine,3
adolescence,3
supervision,7
adolescent,3
delinquent,4
accounting,4
cigarettes,5
exposures,1
interview,4
marijuana,3
behaviors,3
cigarette,1
childhood,4
behavior,3
computer,4
violence,4
cocaine,3
Revised,4
infant,8
