Word,Count,Splits
anatomic,9,2
lateral,9,2
doctors,9,2
dissection,9,2
hospitals,9,3
seizure,9,3
consensus,9,2
controlling,9,2
pelvis,9,2
malignant,9,3
concordance,9,3
diagnostic,9,2
migraine,9,2
mellitus,9,4
parity,9,2
aspiration,9,2
ultrasonography,9,4
hemorrhage,9,4
benign,9,2
laboratories,9,3
GERD,9,3
Questionnaire,9,2
effectiveness,9,2
chest,9,2
Statistical,9,2
psychotic,9,2
myocardial,9,4
antibiotic,9,4
elective,9,2
longitudinal,9,2
hospitalized,9,2
compliance,9,2
prescription,9,2
medications,9,2
staging,9,2
tailored,9,2
carriers,9,2
illness,9,2
anxiety,9,2
aureus,9,3
offspring,9,2
expectancy,9,2
expenditures,9,4
eating,9,2
fatigue,9,2
prolonged,9,2
knees,9,2
rupture,9,3
tibial,9,2
decelerations,9,3
contamination,9,3
aggressive,8,3
poorly,8,2
histology,8,2
percutaneous,8,3
laparotomy,8,4
perception,8,2
categorized,8,2
arteries,8,3
unchanged,8,2
fasting,8,2
implantation,8,3
impairment,8,3
thresholds,8,3
residual,8,2
caregivers,8,3
Students,8,2
mobility,8,2
arthritis,8,4
diagnoses,8,2
binge,8,2
hypoxia,8,4
psychiatric,8,3
catheter,8,3
prophylactic,8,4
infarction,8,3
paediatric,8,4
treatments,8,2
pancreatic,8,3
cystectomy,8,4
hazard,8,3
inhibitors,8,3
untreated,8,3
progression,8,2
pregnancies,8,4
susceptibility,8,3
availability,8,2
resistant,8,2
stratified,8,2
biopsies,8,3
mediated,8,2
prosthesis,8,3
Mosaic,8,3
toxicity,8,3
GDM,8,2
needles,8,2
pneumonia,8,3
Significant,8,3
cycloplegic,8,5
mineral,8,2
antigen,8,2
flexion,8,2
impaired,8,3
intact,8,2
clinician,8,2
scintigraphy,8,5
healthcare,8,2
cues,8,2
abnormal,8,2
atresia,8,3
ICU,8,2
hepatitis,8,3
suspicious,8,2
dexamethasone,8,6
scoliosis,8,4
complaints,7,2
pathologic,7,3
anesthesia,7,4
nasal,7,2
aorta,7,3
blinded,7,2
hemoglobin,7,4
cerebral,7,4
strategies,7,2
immunohistochemistry,7,7
inhibin,7,3
evacuation,7,3
molar,7,2
depressive,7,3
disability,7,2
squamous,7,3
BP,7,2
nurse,7,2
comprehension,7,2
lectures,7,2
joints,7,2
monthly,7,2
ARM,7,2
drinking,7,2
telephone,7,2
appendectomy,7,4
Emergency,7,2
HIE,7,2
sodium,7,2
suppression,7,2
syringe,7,3
PRISM,7,3
specialist,7,2
radiographic,7,2
morphology,7,2
plaque,7,2
circumference,7,2
intrauterine,7,4
supervision,7,2
behaviors,7,2
cognitive,7,2
leakage,7,2
adverse,7,2
indication,7,2
referral,7,2
genetic,7,2
staining,7,2
endometrial,7,3
hypoglycaemia,7,5
rheumatoid,7,5
negatives,7,2
Recent,7,2
perioperative,7,3
shifts,7,2
salvage,7,2
metabolism,7,3
unilateral,7,4
laxity,7,3
surgeons,7,3
surgeon,7,2
hypothyroidism,7,4
Medicaid,7,3
attitudes,7,2
fellowships,7,2
localized,7,2
kHz,7,2
comorbidity,7,4
shopping,7,2
fibrillation,7,4
statin,7,2
femoral,7,2
HCMV,7,3
ROP,7,2
oxygenation,7,3
employment,7,2
colorectal,7,4
weighted,7,2
neurological,7,4
uncomplicated,7,3
LVH,7,3
restenosis,7,3
therapists,7,3
reviewer,7,2
cortisol,7,3
principals,7,2
Pathway,7,2
ergocalciferol,7,5
melanomas,7,3
donors,6,2
adolescents,6,4
antibody,6,3
prognosis,6,3
adjuvant,6,3
weekly,6,2
dysfunction,6,3
oxygen,6,2
mmol,6,2
respiratory,6,3
splenectomy,6,4
endoscopic,6,4
knife,6,2
hemodialysis,6,4
subjective,6,2
infundibulum,6,5
pathology,6,2
anemia,6,2
musculoskeletal,6,6
testis,6,2
synovitis,6,3
TNF,6,2
ethnicity,6,3
dental,6,2
Depression,6,2
substances,6,2
postmortem,6,3
manifestations,6,2
abnormalities,6,3
Groups,6,2
outpatient,6,3
decisions,6,2
Registry,6,2
regimen,6,2
radiologists,6,3
abdomen,6,3
bilirubin,6,4
Score,6,2
heparin,6,3
platelet,6,2
melanoma,6,3
basal,6,2
metoclopramide,6,6
inhaled,6,3
perinatal,6,3
transient,6,2
receptors,6,3
bipolar,6,3
PID,6,2
annulus,6,2
stimulation,6,2
exclusion,6,2
allele,6,2
postmenopausal,6,5
susceptible,6,3
differentiation,6,2
carcinomas,6,3
rhythm,6,2
arthroplasty,6,6
sagittal,6,3
THA,6,2
neurologic,6,3
postural,6,2
gout,6,2
Laparoscopic,6,5
catheterisation,6,4
bladder,6,3
attenuation,6,4
lupus,6,3
familial,6,2
unmarried,6,3
laparoscopy,6,4
Hispanic,6,3
VAP,6,2
thigh,6,2
PPM,6,2
risks,6,2
retention,6,2
SPECT,6,3
systemic,6,2
laser,6,2
definitive,6,2
skeletal,6,3
cirrhosis,6,4
somatostatin,6,4
polyps,6,2
tuberosity,6,3
acidosis,6,3
workload,6,2
ABP,6,2
stent,6,2
vertebral,6,3
APT,6,2
manuscripts,6,2
prescriptions,6,3
tonsillectomy,6,4
apex,6,3
chorioamnionitis,5,6
indicators,5,2
Maternal,5,2
survivors,5,3
congenital,5,3
HIV,5,2
biliary,5,3
Surgical,5,3
Outcome,5,2
evoked,5,2
ambulatory,5,3
cavity,5,2
intraperitoneal,5,6
stomach,5,3
pigs,5,2
calcification,5,2
quantitative,5,2
Serum,5,2
hydatidiform,5,4
Correlation,5,2
tolerance,5,2
randomized,5,2
minorities,5,2
functioning,5,2
depressed,5,2
buccal,5,3
interviews,5,2
evaluations,5,2
Disease,5,3
assessments,5,2
injections,5,2
inpatient,5,3
ethanol,5,3
cystic,5,3
juvenile,5,3
infected,5,2
Assessment,5,3
prenatal,5,3
fundus,5,2
intra,5,2
Quality,5,2
idiopathic,5,4
obstructive,5,3
Functional,5,2
prosody,5,2
tissues,5,2
chloride,5,3
ovary,5,2
MDA,5,2
painful,5,2
CAM,5,2
therapies,5,3
intercourse,5,2
lifestyle,5,3
femur,5,2
volumetric,5,4
cultures,5,2
islets,5,2
assisted,5,2
oncology,5,3
adolescent,5,3
cigarettes,5,4
AUC,5,2
vomiting,5,2
nasogastric,5,4
habits,5,2
lipid,5,2
psychological,5,2
syndromes,5,3
physiological,5,3
hemodynamic,5,3
obstruction,5,2
auditory,5,2
macrophage,5,3
phagocytosis,5,5
mammography,5,3
counseling,5,3
atropine,5,3
fatty,5,2
acids,5,2
reproduction,5,2
INF,5,2
nail,5,2
moles,5,2
parks,5,2
extremity,5,2
Knowledge,5,2
bones,5,2
inequalities,5,3
gradients,5,2
booklet,5,2
prostatectomy,5,4
reconstruction,5,2
dermatitis,5,3
perforation,5,3
amyloidosis,5,5
HCM,5,2
Acute,5,2
msec,5,2
Associations,5,2
enucleation,5,4
traumatic,5,3
VEGF,5,3
QALY,5,3
proliferation,5,4
nutrition,5,3
distal,5,2
Physicians,5,2
comorbidities,5,4
circulation,5,2
palpable,5,3
esophageal,5,4
illicit,5,3
muscles,5,2
heterogeneity,5,3
hypertrophied,5,4
normalized,5,2
mRNA,5,3
Ultrasound,5,3
pH,5,2
specimen,5,2
smear,5,2
cholestasis,5,4
investigations,5,2
micronutrient,5,5
sustained,5,2
mesocolon,5,4
ART,5,2
corneal,5,3
ablation,5,2
plantar,5,2
emotions,5,2
NICU,5,3
acidity,5,2
HNPCC,5,3
poisoning,5,2
counties,5,2
antihistamines,5,5
rotated,5,2
chloroquine,5,5
Histologic,4,3
trimester,4,2
Cases,4,2
wrist,4,2
immune,4,2
simultaneous,4,2
resected,4,2
antenatal,4,2
condom,4,2
antibodies,4,4
IgM,4,2
IgG,4,2
palliative,4,3
fractions,4,2
embolism,4,3
Elevated,4,3
perceptions,4,3
hypoglycemic,4,5
aneurysms,4,4
resuscitation,4,3
anesthetic,4,4
segmental,4,2
Operative,4,2
endoscope,4,3
mobilization,4,2
spleen,4,3
albumin,4,2
calcified,4,2
chorionic,4,3
follicular,4,3
caregiver,4,3
Plasma,4,2
minority,4,2
smears,4,2
diastolic,4,4
endoscopy,4,3
antegrade,4,2
uncommon,4,2
deficits,4,3
stimulus,4,2
objectives,4,2
vaccinated,4,4
orchiopexy,4,4
testes,4,2
Therapy,4,2
corticosteroid,4,5
trough,4,2
Interview,4,2
voluntary,4,2
anomalies,4,3
Infants,4,2
Preoperative,4,3
tethered,4,3
CRT,4,2
systematic,4,2
sampled,4,2
hernia,4,3
gastrectomy,4,4
sleeve,4,3
Sleep,4,2
fibrosis,4,3
citations,4,2
etiology,4,3
perforations,4,3
ketamine,4,4
pneumoperitoneum,4,6
degeneration,4,3
oesophagitis,4,5
intragastric,4,4
palpation,4,3
placement,4,2
Baseline,4,2
PICU,4,3
Female,4,2
unadjusted,4,4
gynecological,4,4
Secondary,4,2
microbial,4,3
progressive,4,2
parietal,4,3
cholesterol,4,4
elevation,4,2
lansoprazole,4,5
delinquent,4,3
accounting,4,2
childhood,4,2
Revised,4,2
dementia,4,3
abortion,4,2
Asthma,4,3
ACT,4,2
anastomotic,4,4
Evaluation,4,3
atherosclerosis,4,6
discontinuation,4,3
indications,4,2
DST,4,2
Consecutive,4,3
nodal,4,2
Routine,4,2
lowering,4,2
hepatic,4,3
ANOVA,4,3
eosinophilic,4,6
eosinophil,4,5
cerebrovascular,4,5
neutrophil,4,3
sedation,4,2
spectrometry,4,3
vitro,4,2
CML,4,2
echocardiography,4,5
MRI,4,2
febrile,4,2
alloimmunization,4,4
RBCs,4,3
spine,4,2
univariate,4,3
incidental,4,2
differentiate,4,2
methicillin,4,5
vancomycin,4,4
strengths,4,2
paternal,4,2
intramedullary,4,4
leisure,4,3
avascular,4,3
sedentary,4,3
myalgia,4,3
analyses,4,3
Knee,4,3
Statistically,4,2
subtype,4,2
homeostasis,4,3
endogenous,4,3
AICAR,4,3
discrimination,4,3
cohorts,4,3
Rating,4,2
transurethral,4,4
Siemens,4,3
oophorectomy,4,5
myomectomy,4,4
newborns,4,3
progesterone,4,4
descending,4,2
deficiency,4,3
simulated,4,2
swelling,4,2
preventive,4,2
unaware,4,2
Severe,4,2
Fisher,4,2
oedema,4,3
exogenous,4,3
mSv,4,3
ossification,4,3
examining,4,2
atmospheric,4,3
temperatures,4,2
vaccines,4,3
welfare,4,3
pancreatitis,4,4
lobe,4,2
colitis,4,2
UGI,4,3
oestrogen,4,3
exenteration,4,3
trials,4,2
referrals,4,3
Gastrointestinal,4,5
Symptom,4,3
retaining,4,2
tension,4,2
microscopy,4,3
unsuccessful,4,3
colonic,4,2
recommendations,4,2
colposcopy,4,3
protocols,4,2
dentists,4,2
vegetables,4,2
hyperaemia,4,3
Exclusion,4,2
PRK,4,2
midfoot,4,2
thrombectomy,4,5
hypoxic,4,3
allogeneic,4,4
clotting,4,3
APTT,4,3
tenosynovitis,4,5
proctocolectomy,4,5
ileorectal,4,5
breasts,4,2
exacerbations,4,4
prednisone,4,3
condyles,4,2
anticipatory,4,2
ipsilateral,4,5
prescribing,4,3
haemorrhages,4,4
eyelid,4,4
vertebra,4,2
nmol,4,3
MHC,4,2
insertions,4,2
gangrene,3,2
cytometry,3,3
apoptosis,3,3
frozen,3,2
transplantations,3,3
Survival,3,3
syphilis,3,3
condoms,3,2
assay,3,2
unresectable,3,4
troponin,3,3
thrombolysis,3,4
descriptions,3,2
underweight,3,2
overweight,3,2
Pediatric,3,3
Accuracy,3,3
Clinic,3,3
failures,3,2
potentials,3,2
Postoperative,3,3
manipulation,3,2
paraparesis,3,4
paraplegia,3,4
thoracic,3,3
peritoneal,3,4
transgastric,3,4
dissected,3,2
puncture,3,3
incision,3,2
fistula,3,3
phosphorus,3,3
classify,3,2
suppressed,3,2
seizures,3,3
outpatients,3,3
enrollment,3,3
pathologist,3,2
Comparison,3,2
challenges,3,2
centres,3,2
NPV,3,3
margins,3,2
deficient,3,3
Disorders,3,2
utilization,3,2
infectious,3,3
inhibition,3,3
insufficient,3,3
rehabilitation,3,4
osteoporosis,3,5
Pain,3,2
mechanisms,3,2
postnatal,3,3
unsatisfactory,3,3
restorations,3,3
Adults,3,3
anticoagulant,3,5
subgroups,3,2
inadequate,3,4
Fatigue,3,3
nocturnal,3,4
cough,3,2
Improvement,3,3
IPF,3,2
modulated,3,2
preserving,3,2
communications,3,2
causation,3,2
weighting,3,2
inducing,3,2
savings,3,2
decreases,3,2
tympanic,3,3
membrane,3,2
oxidative,3,3
ovaries,3,3
Maximal,3,2
Parents,3,2
Breast,3,2
exercises,3,3
coronal,3,2
neonates,3,3
Complications,3,2
asymptomatic,3,3
thorax,3,2
frontal,3,2
waist,3,2
differentiating,3,2
normotensive,3,3
phenotypes,3,3
intima,3,2
sepsis,3,3
metabolic,3,3
modeling,3,2
adolescence,3,4
marijuana,3,3
cigarette,3,3
cocaine,3,3
Additional,3,2
mitral,3,2
positron,3,2
nausea,3,3
anatomy,3,3
Examination,3,3
inactivation,3,3
infertility,3,3
Mortality,3,2
Deaths,3,2
Trauma,3,2
investigates,3,2
extremities,3,2
sentinel,3,3
Surgery,3,3
grinding,3,2
Repeated,3,3
livers,3,2
positioning,3,2
dividing,3,2
bronchial,3,3
corticosteroids,3,5
lumen,3,2
Observational,3,2
periodontal,3,3
undifferentiated,3,4
NPC,3,2
automated,3,2
nursery,3,3
activated,3,2
leukocytes,3,4
lavage,3,2
TEAM,3,2
mood,3,2
Adherence,3,3
Receiver,3,2
chromatography,3,3
pathogenesis,3,3
carbohydrate,3,5
pentosidine,3,4
adducts,3,3
uremia,3,3
lysine,3,3
Stroke,3,2
orifice,3,2
autoimmune,3,3
gambling,3,3
dopamine,3,3
PLT,3,2
Controlled,3,2
practitioners,3,3
Prevalence,3,3
geriatric,3,3
fellowship,3,2
sonography,3,2
dimeglumine,3,5
criterion,3,2
adhesive,3,3
therapist,3,3
Staphylococcus,3,6
nephrotoxicity,3,6
Cmin,3,2
paternity,3,3
sliding,3,2
slopes,3,3
refractive,3,3
displacement,3,2
fold,3,2
tamoxifen,3,3
biological,3,2
interventional,3,3
diversion,3,2
septum,3,2
septal,3,2
herniation,3,3
MCP,3,2
circadian,3,3
pineal,3,3
melatonin,3,3
seasonal,3,2
hemispherectomy,3,5
vocabulary,3,4
faculty,3,2
Regular,3,2
acetabular,3,4
reconstructions,3,3
continuity,3,2
proximal,3,2
screws,3,3
weekend,3,2
ambulation,3,2
extensor,3,2
Prognostic,3,4
hazards,3,3
Multivariate,3,3
PEG,3,2
scanners,3,3
pediatric,3,3
sonogram,3,2
myoma,3,2
glycoprotein,3,5
participant,3,2
neuropsychological,3,5
vena,3,2
cava,3,2
immigrants,3,3
migrants,3,2
prophylaxis,3,4
nerve,3,2
peroneal,3,3
pharmacists,3,4
nurses,3,3
feeds,3,2
Recovery,3,2
secular,3,2
neuron,3,2
Positive,3,2
sinus,3,2
peaked,3,2
Gleason,3,3
bovine,3,3
suture,3,2
gradual,3,2
defects,3,2
uterine,3,3
Resistance,3,2
diameters,3,2
esophagitis,3,4
dysphagia,3,5
grafting,3,3
Epidemiological,3,4
rigidity,3,3
weakness,3,2
trips,3,2
controversy,3,2
phosphate,3,3
phosphocreatine,3,6
adenosine,3,4
autoimmunity,3,3
ruptured,3,3
provocation,3,2
hemorrhagic,3,5
miscellaneous,3,3
WBC,3,2
proliferative,3,4
polymorphisms,3,3
polymorphism,3,2
nucleotide,3,3
appropriateness,3,3
scanning,3,2
osteoarthritis,3,6
supplementation,3,3
Psychological,3,2
fetus,3,2
intracerebral,3,5
adenomas,3,3
duct,3,2
seroma,3,2
prone,3,2
ACE,3,2
curriculum,3,3
investigating,3,2
Cholestasis,3,4
vitamins,3,3
UNICEF,3,3
milks,3,2
colonoscopy,3,3
allergic,3,3
PAD,3,2
vegetable,3,2
virologic,3,3
CHB,3,2
Neuromedin,3,4
subtypes,3,2
Tumor,3,3
iatrogenic,3,4
skiers,3,2
cystoscopy,3,4
urologist,3,4
osteotomy,3,4
profound,3,2
Risk,3,2
Various,3,2
occupational,3,2
fever,3,2
Electronic,3,2
segmentation,3,2
decreasing,3,2
cellular,3,2
restorative,3,3
desmoid,3,3
anastomosis,3,4
nights,3,2
couples,3,2
synchronous,3,2
prostatic,3,2
anomaly,3,2
sonograms,3,3
investigator,3,2
pyramidal,3,3
physis,3,2
atopic,3,3
smoker,3,2
citation,3,2
cognition,3,2
SNP,3,2
kinematics,3,3
IMN,3,2
portoenterostomy,3,5
sensory,3,2
somatization,3,3
yearly,3,2
NSAID,3,3
cuff,3,2
deteriorated,3,4
cognitions,3,2
celiac,3,2
tidal,3,2
qualitative,3,2
pCR,3,2
transitory,3,2
undescended,3,3
responsive,3,2
oblique,3,2
prompts,3,2
autologous,3,3
cyclosporine,3,4
amines,3,2
DSS,3,2
placentas,2,3
debridement,2,3
Peripheral,2,4
dendritic,2,4
TCR,2,2
zeta,2,2
Separate,2,3
retransplantation,2,4
transmitted,2,2
prostitutes,2,3
homosexuals,2,3
epidemic,2,3
Jamaica,2,3
immunosorbent,2,4
herpes,2,2
labial,2,2
transhepatic,2,4
drainage,2,3
Gallbladder,2,4
gallbladder,2,4
cGy,2,3
CTs,2,2
saturation,2,3
hypotension,2,3
unrelated,2,2
salivary,2,3
immunodeficiency,2,5
anatomical,2,3
mucocele,2,4
mucoceles,2,4
iliac,2,2
sulfonylurea,2,5
Increased,2,3
Persons,2,2
Insulin,2,3
endotracheal,2,4
intubation,2,3
electrocautery,2,4
Endoscopic,2,4
splenic,2,3
clips,2,2
Arterial,2,3
Nutrition,2,4
malnutrition,2,4
blot,2,2
depositions,2,2
surgeries,2,3
calcium,2,2
medial,2,2
stain,2,2
gonadotrophin,2,6
trophoblastic,2,5
antiepileptic,2,5
epilepsy,2,4
Safety,2,2
tonic,2,2
Experimental,2,2
coaching,2,2
Almost,2,2
lithotripsy,2,6
calculi,2,2
dysplasia,2,4
Indications,2,3
strictures,2,2
retrograde,2,2
Greater,2,2
biases,2,2
probe,2,2
rotations,2,2
Physiology,2,3
educators,2,2
Graduate,2,3
testicular,2,2
inguinal,2,3
creatinine,2,3
urea,2,2
GFR,2,2
Inclusion,2,2
Adult,2,2
nodules,2,2
nodule,2,2
complaint,2,2
Cohort,2,3
Females,2,2
prematurity,2,3
meconium,2,3
stool,2,2
intake,2,2
Birth,2,2
Parental,2,2
Danish,2,2
restoration,2,2
Relative,2,2
dentist,2,2
funded,2,2
appendix,2,2
Inventory,2,2
apnea,2,2
Severity,2,2
titration,2,3
FSS,2,2
BDI,2,2
additive,2,2
gases,2,2
pediatricians,2,4
anoxia,2,3
modalities,2,2
reflecting,2,2
reductions,2,2
adoption,2,2
trends,2,2
membranes,2,3
Practitioner,2,3
malondialdehyde,2,6
degenerative,2,3
antioxidant,2,5
edema,2,2
TAC,2,2
drinks,2,2
indwelling,2,3
lidocaine,2,3
effusion,2,2
survivals,2,3
meetings,2,2
breathing,2,2
Denmark,2,2
elbow,2,2
rotational,2,2
shaft,2,2
necrotizing,2,4
enterocolitis,2,4
antimicrobial,2,5
insufficiency,2,4
transfusions,2,4
hematocrit,2,4
colectomies,2,4
widespread,2,4
bony,2,2
nephrolithiasis,2,6
consistency,2,2
Potential,2,2
Renal,2,2
ethics,2,2
Sensitivity,2,3
tandem,2,2
AST,2,2
ALT,2,2
Documentation,2,2
rejection,2,2
stratification,2,2
Sequential,2,3
oncologic,2,3
robotic,2,2
crossover,2,4
regurgitation,2,3
proton,2,2
pump,2,2
antacid,2,3
Higher,2,2
STUDY,2,3
psychoactive,2,4
cardiomyopathy,2,6
ejection,2,2
dilated,2,2
Delayed,2,3
Cognitive,2,3
gonadotropin,2,5
chromosome,2,3
Primiparous,2,4
births,2,2
epithelial,2,4
Measurement,2,3
Ethnicity,2,3
Regression,2,2
Communication,2,2
Maximum,2,2
adjustments,2,2
volunteers,2,2
thrombosis,2,4
tuberculosis,2,4
contexts,2,2
elicit,2,3
Tertiary,2,4
trunk,2,2
avoidance,2,2
embryo,2,3
viability,2,2
apnoea,2,3
alloxan,2,3
colloids,2,3
Factor,2,2
methacholine,2,4
hospitalizations,2,2
polypharmacy,2,4
fractionation,2,2
accelerated,2,2
otoacoustic,2,5
brainstem,2,3
monocyte,2,3
Histological,2,2
subcutaneous,2,3
macrophages,2,3
