SD,RS,GS_Base_ICL,GS_Base_SFT,GS_Chat_ICL,GS_Chat_SFT,RS_Len_Base,RS_Len_Chat,OOV_RS_Base,OOV_RS_Chat,Novel_RS,OOV_SD_Base,OOV_SD_Chat,R-L_Base_ICL,R-L_Base_SFT,R-L_Chat_ICL,R-L_Chat_SFT,Medical_Words_SplitMoreThan1,Medical_Words_SplitMoreThan3,Medical_Words_SplitMoreThan1_SD,Medical_Words_SplitMoreThan3_SD,CSr__Base_ICL,CSr__Base_SFT,CSr__Chat_ICL,CSr__Chat_SFT
outbreak of red raise sores on back shoulder and arms from shoulder to wrist with raised bulbs of liquid. treatment and maintenance ?,How can i get rid of a blister rash on the back of my shoulders and arms?,"What are treatments for outbreaks of red, raised sores on the back, shoulder, and arms?",What are the treatments for red sore on back shoulder and arm?  What are the treat,"What are treatments for red, raised sores on the back, shoulders, and arms?",What are the treatments and prevention for red sore on back shoulder and arm? What are,20,20,0.125,0.125,0.5882352941176471,0.1904761904761904,0.1904761904761904,0.4374999999999999,0.303030303030303,0.4000000000000001,0.303030303030303,0.3333333333333333,0.0,0.25,0.0,0.2,0.2,0.4444444444444445,0.18181818181818182
why does the united states have a high mortality rate of covid-19 than other countries,Why is US COVID-19 mortality rate high?,Why does the United States have a higher mortality rate of COVID-19 than other countries?,Why does the United States have a high mortality rate of covid-19 than other countries,Why does the US have a higher COVID-19 mortality rate than other countries?,What are the United States' high mortality rates for covid-19? Where can I,12,12,0.2,0.2,0.7142857142857143,0.1428571428571428,0.1428571428571428,0.25,0.25,0.5454545454545454,0.1818181818181818,0.3333333333333333,0.0,0.2,0.0,0.4,0.8571428571428571,0.4,1.0
what are the effects when you take testosterone injections with sudafed 20 mg at the same time what’s the effects,Can I take testosterone injections and Sudafed at the same time?,What are the effects of taking testosterone injections with sudafed 20 mg at the same time?,What are the side effects of testosterone and sudafed 20 mg taken,"What are the potential interactions between testosterone injections and Sudafed, and what are the",What are the effects of testosterone injections and sudafed 20 mg,17,17,0.3,0.3,0.4545454545454545,0.2222222222222222,0.2222222222222222,0.5925925925925926,0.2608695652173913,0.4,0.3636363636363636,0.75,0.0,0.75,0.25,0.5,0.0,1.0,0.5
when to start anohter round of antibiotics? how long can you wait to start a new dose of an antibiotic? ,How long should I wait between rounds of antibiotics?,When should I start a new round of antibiotics?,How often can I taking antibiotics?  How often can I taking antibiotics,How long can I wait before starting another round of antibiotics for a persistent infection?,When to start antibiotics and how long to wait between doses?  How long can,14,14,0.125,0.125,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.2857142857142857,0.5833333333333334,0.3478260869565217,0.3333333333333333,0.3333333333333333,0.375,0.25,0.18181818181818182,0.0,0.8571428571428571,0.6666666666666666
what are the possible side effects of not taking olanzapine after having tanker it for a long period of time,Does olanzapine have withdrawal symptoms?,What are the side effects of not taking olanzapine?,What are the side effects of not taking olanzapine after having tanker it for a long,What are the possible side effects of stopping olanzapine after long-term use?,What are the possible side effects of not taking olanzapine after having tanker it for a,11,11,0.5,0.5,0.8,0.1,0.1,0.1428571428571428,0.1904761904761904,0.1111111111111111,0.1904761904761904,0.75,0.25,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0
if you exposed to two positive covid people an your results negative but you have symptoms what are state local cdc recommendations for quarantine,"What are the quarantine recommendations after being exposed to COVID-19, but testing negative?",What are the recommendations for quarantine if you have been exposed to two positive COVID-19 people?,How is someone with symptoms of coronavirus disease 2019 (COVID-,What are the CDC recommendations for quarantine after exposure to COVID-19 positive individuals,What are state local cdc recommendation for quarantine if someone is symptomatic after exposure to,20,20,0.1818181818181818,0.1818181818181818,0.5384615384615384,0.2083333333333333,0.2083333333333333,0.5161290322580646,0.0833333333333333,0.5714285714285714,0.3448275862068965,0.4,0.0,0.3333333333333333,0.0,0.5,0.0,0.28571428571428575,0.0
"how do you know if you have sinus rhythm, what does it mean, is it good or bad?",What does it mean to be in sinus rhythm?,"What is sinus rhythm, and what does it mean?",What are the differences between sinus rhythm and atrial fibrillation?  What are,How can I determine if I have a normal sinus rhythm?,"How do I find out if I have sinus rhythm, what does it mean, is it",12,12,0.125,0.125,0.4444444444444444,0.0666666666666666,0.0666666666666666,0.4444444444444444,0.2857142857142857,0.1999999999999999,0.32,0.6666666666666666,0.0,0.4,0.0,1.0,1.0,0.0,1.0
"did anyone have this and does it require surgery? my mri says forminal stenosis from bone spurs c4,5,6. my nerve test shows severe nerve compression c7,8. i’m in so much pain, mostly my arm and shoulder and leg. waiting to see the pain specialist to see what’s next. would love to know what you guys think is required..",How can I get rid of pain caused by foraminal stenosis and nerve compression?,What is the best treatment for severe nerve compression?,What are the treatments for formin cord disease?  What are the treatments for arm and,"Can spinal stenosis and nerve compression cause severe pain in multiple areas of the body,","What are the treatments for forminal stenosis and nerve compression c7,8?",19,19,0.2307692307692307,0.2307692307692307,0.7142857142857143,0.1632653061224489,0.1632653061224489,0.1739130434782608,0.0689655172413793,0.3448275862068965,0.3076923076923076,0.5,0.0,0.3157894736842105,0.0,0.22222222222222224,0.0,0.2,0.5714285714285715
i thought i needed a knee repalcement but after having a stent placed in my heart my knee doesn't hurt what happened,Can a heart stent alleviate knee pain?,What are the rehabilitation guidelines for knee replacement?,What are the risks of knee replacement?  What are the risks of heart disease?,"Can a recent heart stent placement affect the knee pain I was experiencing?
##",What are the treatments for arteriosclerosis and how can it affect the legs?,12,12,0.5,0.5,0.4285714285714285,0.1904761904761904,0.1904761904761904,0.1333333333333333,0.0952380952380952,0.6,0.1,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0
"is there an increased risk of infiltration, dislodgement, or phlebitis in a stroke patient with a peripheral intravenous catheter insertion in the affected extremity?",How high is the risk of complications of IV therapy?,"Is there an increased risk of infiltration, dislodgement, or phlebitis in a stroke patient with a peripher","Are there increased risks of infiltration, dislodgement, or Phle",Is there a higher risk of complications with IV catheter placement in a stroke patient?,"Is there an increased risk of infiltration, dislodgement, or phle",13,13,0.1111111111111111,0.1111111111111111,0.5,0.238095238095238,0.238095238095238,0.2222222222222222,0.2105263157894737,0.4,0.3,0.5,0.0,0.6363636363636364,0.2727272727272727,0.0,0.0,0.5,0.0
when you check your blood with the insulin meter what is a good number,What is the normal range for insulin?,What is a good blood sugar level?,What are normal ranges for insulin?  What are normal ranges for insulin?,What is a good blood sugar level for a person with diabetes?,What is a good glucose number on the insulin meter? What glucose ranges,10,10,0.0,0.0,0.7142857142857143,0.0714285714285714,0.0714285714285714,0.2857142857142857,0.5263157894736842,0.3157894736842105,0.4,0.3333333333333333,0.0,0.2,0.0,0.0,1.0,0.0,0.6666666666666665
"scrotum swelling scarring from water retention what ointment, cream to treat",What is the treatment for swollen and scarred scrotum? ,What ointments and creams are used to treat scrotal swelling and scarring from water retention?,What are the treatments for scrotal scrotal swelling?  What are the treat,What treatments are available for scrotal swelling and scarring from water retention?,What ointments or cream are used to treat scrotum swelling and scarring caused,16,16,0.25,0.25,1.0,0.5,0.5,0.25,0.380952380952381,0.4761904761904762,0.2727272727272727,0.75,0.0,0.75,0.0,0.0,0.25,0.2,0.0
8 month old child suffering from constant vomiting what could be the medicine used for treatment,What can I give my 8 month old for constant vomiting?,What is the best treatment for constant vomiting in an 8 month old child?,What are the treatments for vomiting?  What are the treatments for vomiting?,What medication can be used to treat constant vomiting in an 8-month-old child,8 months old child vomiting what are the treatments and what are the treatments for vomiting,14,14,0.0,0.0,0.5454545454545454,0.0666666666666666,0.0666666666666666,0.32,0.2608695652173913,0.3846153846153846,0.3703703703703703,0.3333333333333333,0.0,0.125,0.0,0.6,0.0,0.5454545454545454,0.3333333333333333
what electrolyte do you need to watch when someone is on a water pill and what would be a good food source for this electrolyte?,What electrolytes do I need if I am on a water pill?,What are the electrolytes to watch for when someone is on a water pill?,What are the recommended foods and electrolytes for someone taking a water pill?  What,How do water pills affect electrolyte levels and what foods can help restore balance?,What electrolytes do people on diuretics need to watch and what are good food sources,15,15,0.0909090909090909,0.0909090909090909,0.5833333333333334,0.0416666666666666,0.0416666666666666,0.4615384615384615,0.3846153846153846,0.2307692307692307,0.2962962962962963,0.25,0.0,0.1428571428571428,0.0,0.6666666666666666,0.5714285714285715,0.0,0.4
i am post menopause for about 18 years and i have been bleeding for about a month why,What can cause postmenopausal bleeding?,Why am I bleeding?,What are the causes of bleeding during postmenopuase?  What are the treatments,Why am I experiencing vaginal bleeding after 18 years of postmenopause,18 year postmenopausal bleeding and bleeding during periods? What are the causes,11,11,0.25,0.25,1.0,0.1176470588235294,0.1176470588235294,0.2222222222222222,0.3529411764705882,0.125,0.2352941176470588,0.6666666666666666,0.3333333333333333,0.4,0.0,0.0,0.0,0.0,0.0
How to i get more information regarding the theraputics treatments that me be benificial. My sister-in-law suffers from myofibroma and I am trying to empower myself with as much knowledge as possible. I thank  you in advance for your help.,What is the best treatment for myofibroma in adults?,What are the treatments for myofibroma?,Where can I find information on myofibromatosis therapuetic treatments?,What are the treatment options for myofibroma?,Where can I find information on treatments for myofibroma? Where can I find information,15,15,0.125,0.125,0.3333333333333333,0.1388888888888889,0.1388888888888889,0.6666666666666667,0.1111111111111111,0.6250000000000001,0.2608695652173913,0.6666666666666666,0.3333333333333333,0.5,0.125,0.6666666666666666,0.1818181818181818,0.5,0.5454545454545454
"I had a left knee replacement - osteo arthritis and related to a sport injury.  I was assaulted and the replacement was damaged. I had a second left knee replacement. About 6 months later the knee started swelling up. GP diagnosed it as gout, and treated it with gout medication. These flare ups happened more and more  frequently and increased in severity, especially after having a left hip replacement. GP twice treated with steriod (cortisone)injections. Before injecting the cortisone, the GP drained blood from the knee joint. Had relief but only for short period. GP then referred me to orthopeadic surgeon again. After X rays, ultra sound (which indicated that I had a bursar and baker’s cyst as well as extensive fluid on the knee), nuclear (bone and gallium) tests, nothing showed up. Surgeon surmises that the plastic disc that forms part of the prothesis, may be breaking up in microscopic particles He suggested that I go for another operation and get a hinge prothesis I looked at a photo in the brochure, and noticed that there is also a plastic disc My question is therefore - if the current plastic disc is disintegrating, isn’t the possibility that this will happen again? It seems as if the body rejects the plastic disc. At the moment I am using Codalgin Forte (500mg paracetamol and 30mg codeine) I am very reluctant to have the operation BUT also feel I can’t go on like this as these flare ups can happen any time and compromises my day to day living. During such a flare up I can’t walk, sometimes for a couple of days. I lie in bed with cold compresses on the knee! I will appreciate any advice.",What is the probability that a plastic disc in a hinged knee prosthesis will disintegrate?,What is the best treatment for a knee replacement that is breaking up?,What are the prognosis and complications of knee replacement?  What are the complications,Can a plastic knee prosthesis break down and cause recurring infections and,What are the treatments for recurrent flare up after arthritis and related to sport,24,24,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.1544715447154471,0.1544715447154471,0.3571428571428571,0.2142857142857142,0.2962962962962963,0.1379310344827586,0.6,0.0,0.3787878787878788,0.0303030303030303,0.0,0.0,0.25,0.0
Can IBS be cured with the patent Medicines      say Mebverine or others as prescribed the      Doctor.       Does Probiotics are helpful in controlling       the IBS. Some says Peeper Mint can also be       suitable. These are few general questions       as regards IBS and not personal.,How to cure IBS?,Can IBS be cured with medications?,What are the treatments for IBS?  What are the treatments for IBS?,Can IBS be cured with patent medicines like Mebverine or Probiot,What are the treatments for IBS? What are the treatments for IBS? What are,7,7,0.3333333333333333,0.3333333333333333,0.5,0.282051282051282,0.282051282051282,0.2,0.125,0.1333333333333333,0.1111111111111111,0.0,0.0,0.5,0.0833333333333333,0.0,0.0,0.0,0.0
"I have 6 months twin daughter. M one daughter is ok but another one have blood less issue from start. and she required bool every month. after check . of her, her mother and my. result find out that. My report is ok from Thalassemia. Her mother have minor Thalassemia . and she (daughter) have no Thalassemia but my daughter have Anemia. so doctor give her foli acid and mother milk. but she still problem, now he sagest for bone marrow and maybe she have Anemia.. so give me some guideline that what I do.... thank..",What are the best treatments for anemia in an infant?,What is the treatment for anemia?,How is Thalassemia inherited?  What are the inheritance patterns of Thalassemia?,What are the treatment options for a child with microcytic anemia and a family history of,"6 months old girl with blood less issue and required bone marrow transplant, what are the",13,13,0.2222222222222222,0.2222222222222222,0.5,0.1012658227848101,0.1012658227848101,0.625,0.2857142857142856,0.4615384615384615,0.2307692307692307,0.6666666666666666,0.0,0.3,0.05,0.4,0.0,0.0,0.0
"hai sir, we want suggestion to my wife. she is sugar patient and she is pregnant. in her uterus have two fibroid  of max size (750g and 300g). doctors are suspecting pregnancy may be in uterus or tubes. so remove uterus. what is u r suggestion",What are the recommendations for a diabetic with uterine fibroids and suspected ectopic pregnancy?,What is the best treatment for fibroids?,What are the risks of fibroid removal?  What are the risks of uterus,What are the risks and benefits of removing the uterus during pregnancy?,What are the treatments for fibroids during pregnancy and what are the options for removal,28,28,0.4615384615384615,0.4615384615384615,0.7857142857142857,0.1794871794871795,0.1794871794871795,0.3809523809523809,0.2962962962962963,0.3846153846153846,0.4137931034482759,1.0,0.1666666666666666,0.5,0.0,0.25,0.0,0.0,0.2222222222222222
"Few years ago (like 3yrs) my uncle faced a massive accident. His back-bone broken, right leg anklet broken. He treated his backbone from Trauma Centre. Some steel plates and screws added with his backbone and his backbone is now completely ok. The problem is now with his both leg. From knee to leg finger-end is now completely senseless. He can’t feel anything like touching or byte of any mosquitoes or any insects. Both legs are now thinned too much from thigh starting point to the leg end. He did some Physio-Therapy excercise but no improvement. Dr. said that nerve has teared in some place of leg. Now I want to know is there any therapy/treatment available to get rid of this kind of injury? How it can be cured and where is the treatment available? What kind of treatment is need to get cure?",Is there a cure for nerve damage and loss of sensation in both legs after back surgery? ,What are the treatments for nerve damage in the legs?,What are the treatments for sensory loss in legs?  How can I get my sensory,"What treatments are available for nerve damage in the legs, and where can my uncle find a",What are the treatments for numbness in the legs? How can I find physician(,23,23,0.1875,0.1875,0.4117647058823529,0.1393442622950819,0.1393442622950819,0.3703703703703703,0.25,0.2941176470588235,0.1935483870967742,0.375,0.0,0.3846153846153846,0.0,0.8,0.3333333333333333,0.6666666666666666,0.4
"I have hypertension and have Glaucoma and diverticulitis, I have developed allergies and am super sensitive to hypertension medication. I have been given multiple medication and react to the medication within 24-48 hours suffering from major side effects and must stop the medication immediately. Do you have any information if there is a medication made for individuals that suffer from allergic reactions to the hypertension medication.",What hypertension medications are least likely to cause allergies?,What medications are available for hypertension that do not cause allergic reactions?,What are the hypertension medications that do not interact with glauuuuuu,Are there any medications available for individuals with hypertension allergies?,What are treatments for hypertrophic reactions to hypertension medication?  What,15,15,0.25,0.25,0.7777777777777778,0.180327868852459,0.180327868852459,0.380952380952381,0.3,0.2105263157894737,0.3157894736842105,0.6,0.0,0.3684210526315789,0.1052631578947368,0.4444444444444445,0.4,0.25,0.25
"My friend is interested in a girl for marriage who is with congenital ptosis, but none of her family members had previously. Would like to know the frequency that it could effect the children in future.",How is congenital ptosis inherited?,How is congenital ptosis inherited?,How is congenital ptosis inherited?  How often is congenital ptosis inherited?,What is the likelihood of congenital ptosis being passed down to children?,What is the inheritance pattern of congenital ptosis? Is it hereditary? Where can,9,9,0.5,0.5,0.4,0.0303030303030303,0.0303030303030303,1.0,0.625,0.3529411764705882,0.3333333333333333,0.6666666666666666,0.0,0.1428571428571428,0.0,1.0,0.6666666666666666,0.0,0.6666666666666666
My daughter had brain surgery and has recovered much better than the surgeon expected.  My question is that since her surgery the flap has separated from her skull and there is a gap with just skin covering it.  Please let me know if this is unsual.  She is very worried about it and says that it hurts.,Should I be worried about a painful flap that separated from the skull after brain surgery?,Is it normal for a flap to separate from the skull after brain surgery?,What are the prognosis and complications of brain flap surgery?  How is recovery,Is it normal for a surgical flap to separate from the skull after brain surgery?,What are the recovery and prognosis for flap sites after craniotomy?  What,22,22,0.2666666666666666,0.2666666666666666,0.3125,0.1132075471698113,0.1132075471698113,0.6000000000000001,0.2068965517241379,0.5806451612903225,0.1428571428571428,0.7142857142857143,0.0,0.4166666666666667,0.0,0.3333333333333333,0.16666666666666666,0.3076923076923077,0.25
"my son s 20 years old and last year he told us he had GID. He never goes out except to work with me. rarely will he go anywhere unless he has to. i want to help my son find his life but i don’t know how to help him. i try to support him as best as i know how. i have suggested support groups and so forth but he is not willing. i fear for his mental health. please tell me what i can do to help my son. any groups, people i can contact that will help him with his GID, and that he can be able to somehow find a life for himself. Thanks",How to help an adult with gender identity disorder (GID)?,What resources are available for people with gender dysphoria?,How can I find groups or people who will help my gender-dysmorphic child find,How can I help my son with gender dysphoria find support groups and resources to improve his,Where can I find support groups for people with GID? Where can I find groups that specialize,14,14,0.1111111111111111,0.1111111111111111,0.6,0.0,0.0,0.2105263157894737,0.24,0.2962962962962963,0.1481481481481481,0.2,0.0,0.0,0.0,0.0,0.25,0.4,0.0
Hi I am wondering what the chances are for ototoxicity and liver damage with the use of itraconazole. In case these occur are the side effects reversible? Also what are the risks of congestive heart failure in a person taking this medication if patient has a family history significant for Myocardial infarctions? Thank you for you time.,What are contraindications and side effects of itraconazole?,What are the risks of ototoxicity and liver damage with the use of itraconazole?,What are the side effects of itraconazole and what are the risks of congest,"What are the risks of ototoxicity, liver damage, and congestive heart",What are the side effects of itraconazole and is it reversible? What are the,16,16,0.1428571428571428,0.1428571428571428,0.375,0.1320754716981132,0.1320754716981132,0.4545454545454545,0.5454545454545454,0.3157894736842105,0.5454545454545454,0.5,0.5,0.4090909090909091,0.1363636363636363,0.0,0.4,0.0,0.4
"Hello. I have been a small eater my entire life, but always had difficulties eating. I’ve never looked at myself as having an eating disorder, but during the last year I came onto other thoughts when I went on a scale and saw a tiny bit of weight loss even when I felt I was eating more. That was earlier this year. For the last while I’ve had extremely difficulties eating. One meal a day is struggle enough. I want to gain weight and I want to eat. I’m a size 8, but sometimes even that is slightly big. I have never looked at myself as fat and always wanted to gain weight but never really had a desire to eat unless I’m super hungry or feel like I need to eat to avoid passing out. My stomach tells me to eat, but my brain informs me that I don’t need food and therefore I don’t eat. At my worst I feel nauseous just the tought of eating. I am super worried about this. Is there any vitamins or some sort of medication that can get me to eat even just a little bit more? Thanks.",How to overcome aversion to eating and eat regularly?,What are the symptoms of anorexia nervosa and when should I contact my doctor to discuss my symptoms?,What are the treatments for eating disorders?  What are the treatments for eating,Can I take vitamins or medication to increase my appetite and gain weight?,What are treatments for eating disorders? Is there any vitamin or medication that can,12,12,0.25,0.25,0.4444444444444444,0.0697674418604651,0.0697674418604651,0.074074074074074,0.1818181818181818,0.1818181818181818,0.0869565217391304,1.0,0.0,0.2580645161290322,0.0,0.0,0.0,0.0,0.0
"I have been tested twice and it has been determined that I have 2 copies of the gene for FACTOR V, and I am concerned about my family.  If 1 parent has been diagnosed negative, is it even possible for me to have 2 copies of the gene without something being misdiagnosed?  I have 3 children and 8 grandchildren and would like to know if this should be called to their attention?  Information will be appreciated.",Should i be worried about my children if i have two copies of the gene for FACTOR V?,How is factor V inherited?,How is Factor V inherited?  How is it inherited?  How is it inherited?,Can a person with a negative genetic test result still carry the gene for factor V?,Where can I find information on factor V and its inheritance pattern?  Where can I find information on,22,22,0.1176470588235294,0.1176470588235294,0.2777777777777778,0.0461538461538461,0.0461538461538461,0.1739130434782609,0.1290322580645161,0.2941176470588235,0.1666666666666666,0.4,0.0,0.2142857142857142,0.0,0.0,0.0,0.0,0.0
