Tokens,Count
finger,1
normal,195
Almost,5
social,19
Large,10
March,40
month,134
Using,43
Asian,2
ratio,120
costs,53
aged,198
heel,4
fold,29
need,113
Age,12
herpes simplex virus,9
enzyme immunoassays,1
Western blot assay,2
differentiate,13
determination,15
sensitivity,196
specificity,168
antibodies,47
exposure,78
positive,324
Meridian,2
reliable,31
current,99
Western,12
tested,82
HSV-2,19
Most,62
EIAs,2
Zeus,2
HSV,32
cervical intraepithelial neoplasia grade 3,2
squamous intraepithelial lesion,8
undetermined significance,9
human papillomavirus,8
reference standard,11
squamous cells,9
cytologic test,2
Sensitivity,24
colposcopy,38
evaluation,179
enrollment,17
Pap smear,9
equivocal,9
cytologic,16
Effective,10
excessive,10
following,157
immediate,33
sectional,22
threshold,23
approach,126
atypical,24
detected,80
cervical,25
minority,6
cytology,58
referral,41
referred,64
specimen,5
disease,216
testing,138
greater,272
triage,20
others,23
Triage,3
detect,54
Hybrid,4
single,141
repeat,30
viable,10
option,19
ASCUS,22
grade,36
Study,62
layer,4
alone,179
tests,112
More,30
year,374
ALTS,6
thin,6
HSIL,6
health maintenance organization,9
transient ischemic attack,5
emergency department,24
diabetes mellitus,25
speech impairment,1
hospitalizations,7
hospitalization,49
Characteristics,2
institutions,5
evaluations,20
outpatient,43
Management,8
California,6
physicians,67
odds ratio,165
10 minutes,2
admitting,1
prognosis,18
hospitals,13
recurrent,86
guidance,15
February,37
weakness,10
90 days,7
symptom,101
present,137
stroke,177
Cohort,6
events,183
2 days,17
Stroke,6
deaths,93
acute,190
rapid,54
index,84
death,197
Risk,15
TIA,22
randomized controlled trial,24
liquid nitrogen,6
medical center,4
common warts,3
application,30
common wart,1
treatments,262
adolescent,17
Twenty-two,8
completed,107
occlusion,3
military,5
computer,18
2 months,12
Complete,10
complete,70
majority,45
general,62
clinics,41
October,26
seconds,3
3 weeks,20
maximum,55
common,219
warts,27
codes,1
duct,5
tape,6
arms,22
July,32
wart,10
Duct,1
arm,40
specimen preparation,2
Virus isolation,2
genital herpes,18
gold standard,19
contamination,10
virus culture,8
genitourinary,4
presentations,4
skin lesions,7
cell culture,2
temperatures,6
populations,67
increasing,101
sensitive,43
replacing,2
automated,11
specimens,18
efficient,11
reaction,20
provides,49
medicine,13
sequence,5
episodes,51
Genital,3
melting,2
4 hours,6
genital,21
herpes,8
5 days,16
typing,4
labour,17
chain,8
large,113
swabs,12
assay,22
Probe,2
steps,16
early,191
cost,108
late,39
Real,4
GUM,4
microscopic hematuria,4
urological disease,2
microhematuria,9
examinations,24
Significant,22
screen,46
cent,37
leukotriene receptor antagonists,2
forced expiratory volume,13
cysteinyl leukotrienes,1
bronchoconstriction,28
Exercise challenge,1
persistently,5
montelukast,7
once daily,50
mediators,2
long-term,166
prolonged,48
asthmatic,13
Following,9
endpoints,15
response,136
recovery,44
stopping,17
improved,153
induced,80
crossed,5
percent,563
asthma,134
airway,8
child,82
score,159
fall,37
sec,1
rupture of membranes,8
bacterial vaginosis,58
Bacterial vaginosis,11
anaerobic bacteria,3
Antibiotic therapy,4
low birthweight,7
Identification,3
pregnant women,42
preterm birth,29
consequences,21
antibiotic,113
Randomized,53
Antibiotic,7
suggestion,4
imbalance,2
perinatal,26
Treatment,82
screening,319
regimens,82
vaginal,25
affect,56
little,54
lack,60
poor,57
superficial thrombophlebitis,11
visual analogue scale,7
thrombophlebitis,6
pain intensity,8
spontaneous,28
piroxicam,1
Hirudoid,1
infusion,19
symptoms,401
groups,498
cream,79
signs,74
Both,16
gel,51
acute glomerulonephritis,1
acute rheumatic fever,2
peritonsillar abscess,1
acute otitis media,42
throat soreness,1
acute sinusitis,2
Throat soreness,1
Streptococcus,6
strep throat,20
medical care,6
insufficient,56
antipyretics,7
symptomatic,74
Sore throat,4
antibiotics,192
sore throat,15
suppurative,7
Researchers,2
Suppurative,1
Antibiotics,11
discussion,18
Abstracts,13
Potential,7
untreated,38
benefits,111
Database,27
December,63
resolved,37
Subgroup,15
Analysis,13
negative,154
absolute,38
doctors,7
CENTRAL,31
January,99
opinion,9
Several,24
society,6
shorten,8
reason,20
people,123
quinsy,1
4 days,12
week 1,12
throat,7
Issue,32
fever,21
hours,38
seen,112
free,90
many,87
Non,14
diagnostic criteria,15
premature delivery,2
oral metronidazole,3
preterm delivery,25
second trimester,3
neonatal period,3
laboratories,5
Intervention,7
intravaginal,5
clindamycin,43
literature,126
infections,63
intention,49
high risk,47
increase,235
serious,74
related,201
history,153
search,135
better,184
timing,24
oral,220
beclomethasone dipropionate,2
biochemical markers,9
inhaled budesonide,3
neck of femur,1
inhaled steroids,11
corticosteroids,53
self-management,4
outcome measure,41
bone metabolism,7
asthma severity,4
corticosteroid,35
beclomethasone,3
lung function,20
bone density,38
lumbar spine,25
New Zealand,5
budesonide,20
predicted,36
according,96
Secondary,33
moderate,96
severity,81
agonists,26
adjusted,116
relation,46
possible,93
Inhaled,11
2 years,55
inhaled,61
centres,12
written,10
steroid,32
femoral,32
change,157
France,7
median,114
Change,7
direct,23
risks,125
clear,45
Spain,4
daily,245
Since,21
beta,101
open,58
dose,276
main,75
Mean,55
neck,36
bone,28
due,45
iron-fortified infant formula,1
mean corpuscular volume,3
guaiac-positive stools,1
hospital admissions,6
diaper dermatitis,1
iron deficiency,7
ferritin levels,3
nasal discharge,4
iron supplement,1
protoporphyrin,1
otitis media,9
constipation,49
erythrocyte,1
hemoglobin,23
congestion,3
cow milk,9
6 months,123
wheezing,3
whole,15
serum,155
iron,54
Seventy-four,5
Cryotherapy,4
viral warts,4
traditional,28
Two hundred,8
aggressive,5
Sixty-four,6
blistering,2
textbooks,8
sustained,68
attending,14
Morbidity,6
withdrawn,10
morbidity,131
standard,131
freezing,1
suffered,11
cleared,5
carries,8
clinic,67
times,80
spray,3
halo,1
ice,20
gun,1
international normalised ratio,2
metastatic breast cancer,8
deep venous thrombosis,16
thromboembolic disease,1
anticoagulant therapy,22
deep-vein thrombosis,5
pulmonary embolism,14
thromboembolism,49
thromboembolic,19
risk reduction,33
dose warfarin,19
warfarin dose,1
chemotherapy,11
haemorrhagic,2
prophylaxis,82
prothrombin,4
initiation,26
thrombosis,17
prevention,104
Long-term,20
increases,69
titration,7
warfarin,65
very low,7
bleeding,106
survival,85
6 weeks,44
safety,185
1 week,26
Major,11
Does,126
days,265
Very,5
complex regional pain syndrome,1
peripheral neuropathic pain,5
diabetic polyneuropathy,1
postherpetic neuralgia,23
intercostal neuralgia,1
meralgia paresthetica,1
diabetic neuropathy,7
topical lidocaine,3
prospective study,28
patient reported,3
neuropathic pain,5
skin irritation,1
antidepressant,41
anticonvulsant,2
antiarrhythmic,1
effectiveness,219
radiculopathy,1
pilot study,11
medications,123
Pain Relief,2
side effect,4
preliminary,17
refractory,29
Diagnoses,2
Lidoderm,2
Moderate,3
findings,174
neuroma,1
stopped,28
confirm,24
opioid,9
slight,12
relief,40
patch,21
label,30
stump,3
Scale,39
worse,13
goal,33
This,101
Only,82
lot,1
acute pelvic inflammatory disease,5
erythrocyte sedimentation rates,1
erythrocyte sedimentation rate,12
pelvic inflammatory disease,52
regression analysis,11
tuboovarian abscess,1
C-reactive protein,14
test performance,7
fallopian tubes,2
decision making,5
perihepatitis,1
blood tests,5
laparoscopy,11
endometrial,47
objective,72
Clinical,47
Combined,10
cutoff,18
severe,143
Cutoff,2
t test,2
mg/L,2
combination therapy,27
accident proneness,1
major depression,20
depression scale,3
benzodiazepines,39
antidepressants,81
administration,62
Pharmaceutical,5
International,7
suggestions,7
development,94
frequently,63
depression,108
dependence,6
short term,19
Biological,3
Depression,32
imipramine,28
equivalent,38
long term,18
Exclusion,8
estimated,63
potential,99
suffering,17
Neurosis,4
dropouts,6
examined,104
balanced,2
Anxiety,9
chronic,114
LILACS,7
dosage,32
random,73
medium,16
likely,141
report,72
adult,72
model,127
side,26
well,273
drop,5
None,26
benzodiazepine,18
Angiotensin-converting enzyme,3
creatinine clearance,6
university hospital,5
mean blood pressure,4
Mean blood pressure,2
outpatient clinics,6
enzyme inhibitors,20
decreased albumin,1
microalbuminuria,26
type 2 diabetes,88
renal function,18
ACE inhibitors,9
blood pressure,160
Hemoglobin A1c,2
normotensive,24
angiotensin,38
nephropathy,44
proteinuria,18
albuminuria,10
coordinated,2
inhibitors,49
inhibition,6
Transition,1
diagnosed,121
excretion,19
Enalapril,4
enalapril,13
diabetic,35
24 hours,36
albumin,11
gradual,7
Further,46
Degree,2
extent,30
major depressive disorder,21
atypical antipsychotic,5
adjunctive treatment,2
discontinuation,30
clinical trial,30
clinical study,3
augmentation,28
aripiprazole,6
psychiatric,9
outpatients,23
ziprasidone,2
registries,4
experience,43
risk ratio,21
limitation,11
resistant,49
psychotic,1
remission,40
database,35
meetings,8
focusing,6
utility,18
absence,46
PubMed,13
Double,7
Pooled,15
help,105
held,2
work,65
Can,28
statistical significance,14
perinatal morbidity,5
neonatal sepsis,6
treatment given,5
recommendations,97
neonatal death,3
Intraamniotic,1
antimicrobial,25
endometritis,6
intrapartum,31
publication,22
Intrapartum,4
immediately,35
postpartum,23
bacteremia,20
ampicillin,18
gentamicin,7
infection,116
pneumonia,38
mortality,333
consensus,35
maternal,51
accepted,25
eligible,66
activity,76
neonatal,63
regimen,80
Current,36
care,176
none,38
May,37
emergency cesarean section,1
decreased fetal movements,3
decreased fetal movement,1
abdominal circumference,1
confidence intervals,41
5 minute Apgar score,1
Doppler ultrasound,5
general population,21
teaching hospital,8
umbilical artery,1
fetal heart rate,3
fetal movements,1
gestational age,18
third trimester,9
Investigations,2
amniotic fluid,10
Special Care,1
fetal deaths,1
Apgar score,1
indication,31
compromise,7
monitoring,69
ultrasound,36
complaint,13
waveforms,1
5 minutes,2
admission,31
delivery,78
revealed,51
brackets,1
Cesarean,1
Outcome,15
London,5
volume,30
actual,16
mother,35
inner,4
unit,14
Baby,1
Unit,2
CTG,1
cardiotocograph,1
angiotensin-converting enzyme,13
peripheral arterial disease,5
coronary revascularization,6
controlled clinical trial,8
Antihypertensive therapy,2
systolic blood pressures,2
diastolic blood pressure,36
antihypertensive therapy,5
coronary heart disease,62
cardiovascular disease,67
African Americans,8
Antihypertensive,6
calcium channel,4
North American,6
chlorthalidone,10
heart failure,54
hypertension,205
Heart Attack,2
risk factor,47
amlodipine,35
lisinopril,17
secondary,90
diuretics,28
Lowering,5
Compared,67
Thiazide,2
unknown,45
centers,25
planned,19
lowers,7
intent,25
angina,10
except,21
Trial,22
forms,37
step,24
2 mm,5
absolute neutrophil count,3
white blood cell count,6
polymorphonuclear cell,1
complete blood count,2
children's hospital,2
bacterial infection,11
logistic regression,39
white blood cell,2
focal infection,2
retrospective,44
blood culture,2
temperature,16
performance,56
Information,13
predictions,1
laboratory,45
band count,11
derivation,10
degrees C,8
Receiver,6
retained,6
estimate,47
febrile,19
regular,26
gender,32
weight,146
growth,42
viral,11
state,24
focal,11
Based,30
final,50
part,50
race,26
male,51
set,32
ROC,26
AUC,12
Use,22
partial response,2
unresponsive,10
fluoxetine,29
classified,56
calculated,80
remissions,1
depressed,20
involved,34
changed,8
blinded,53
relapse,38
justify,5
Rating,26
known,84
full,58
see,16
Practitioners,1
retrospective study,15
cerebrospinal fluid,7
purulent meningitis,2
hospital admission,6
bacterial cultures,1
aseptic meningitis,2
Lumbar puncture,1
classification,15
presentation,32
hospitalized,19
observations,9
examination,64
categorized,18
compatible,4
procedure,46
punctures,1
initially,40
puncture,14
3 months,73
instance,2
evolved,2
picture,1
sepsis,13
infant,80
series,27
babies,16
proven,19
survey,54
Fever,1
sole,8
ill,9
Not,2
Chronic obstructive pulmonary disease,2
chronic inflammation,1
moderate to severe,23
lung parenchyma,1
natural history,21
Meta-analysis,27
progression,60
progressive,19
methodology,18
high dose,9
syndrome,32
airflow,6
airways,6
annual,43
role,81
sexually transmitted disease,6
Herpes simplex virus,2
HSV-2 infection,4
late pregnancy,4
questionnaires,20
viral shedding,6
viral culture,1
first episode,11
obstetricians,2
cohort study,47
Confidential,1
Asymptomatic,3
seropositive,7
recognition,5
obstetrics,3
suspicious,8
serologic,9
Serologic,1
serology,8
November,20
Antibody,1
cultures,50
lesions,68
counsel,2
type 2,16
cervix,9
virus,23
vulva,1
urinary tract infection,35
analytical methods,1
economic factors,1
physician office,1
health care use,2
pyelonephritis,4
inpatient care,2
emergency room,1
expenditures,4
health care,15
expenditure,2
composite,40
Orchitis,1
cystitis,7
orchitis,1
slightly,27
elderly,96
dollars,19
various,57
trends,21
Health,45
future,34
lost,20
man,18
old,52
Food and Drug Administration,18
evaluation criteria,2
cortisone injection,2
plantar fasciitis,16
extracorporeal,5
plantar fascia,5
Three hundred,8
pain syndrome,2
Switzerland,4
therapeutic,87
successful,38
technology,11
Technology,2
recurrence,144
heel pain,6
insertion,24
calcaneus,2
therapies,80
proximal,27
Symptoms,15
numerous,8
approved,19
disorder,24
modality,16
Overall,52
natural,11
Medical,20
options,21
rupture,15
shock,15
waves,9
wave,8
High,7
cervical intraepithelial neoplasia,10
cervical cytology,3
Surgical excision,1
considerations,10
adolescents,90
destruction,5
nulliparous,18
observation,34
fertility,19
compliant,9
conscious,2
Certain,5
special,17
benign,35
grades,8
tissue,14
health,90
CIN 2,6
Care,4
Consensus Development Conference,1
National Institutes of Health,8
epithelial ovarian cancer,2
stage ovarian cancer,1
adjuvant therapy,3
epidemiologists,1
ultrasonography,59
ovarian cancer,15
Ovarian Cancer,1
gynecologists,1
postoperative,20
participation,7
obstetrician,2
transvaginal,40
gynecologic,5
oncologists,1
specialists,14
directions,3
widespread,10
Physicians,13
Screening,22
radiation,9
malignant,27
protocols,10
advanced,17
accurate,58
brought,1
address,18
grade 1,6
follows,16
Follow,18
public,13
CA 125,8
stages,5
tumors,18
access,14
Many,31
text,9
coronary angioplasty procedure,1
coronary artery bypass graft,1
coronary heart disease risk,4
coronary artery disease,37
Cessation of smoking,1
smoking cessation,21
Cigarette smoking,1
revascularization,11
stopped smoking,3
Smoking status,3
cardiac death,4
One thousand,2
preoperative,12
percutaneous,15
persistent,37
procedures,38
Clinicians,6
coronary,55
surgery,146
smokers,51
habits,4
causes,107
smoke,7
start,19
quit,13
cut,15
Cox,14
ambulatory monitoring,3
high blood pressure,5
Indiscriminate,1
screening test,11
Hypertension,5
Disagreement,2
investigate,46
measurement,80
Comparison,15
Outpatient,11
Agreement,2
confusion,3
strategy,100
repeated,33
workdays,1
diagnose,40
probably,26
white,61
coat,35
home,58
mmHg,59
ABP,52
gastro-oesophageal reflux,5
Helicobacter pylori,7
cost effectiveness,8
epigastric pain,3
pharmacological,28
quality of life,71
investigation,56
acceptability,16
combinations,31
proton pump,3
H2 receptor,3
antagonists,22
suppression,23
prescribing,13
individual,86
endoscopy,57
dyspepsia,24
Dyspepsia,5
heartburn,10
endoscope,3
extensive,12
resources,11
reporting,43
failures,14
antacids,13
Relative,9
contact,50
antacid,4
Initial,6
exclude,14
absent,16
usual,54
Early,25
acid,15
Test,5
digital rectal examination,2
acute urinary retention,1
microscopic haematuria,1
surgical intervention,5
excretory urography,10
lower urinary tract,2
imaging studies,5
residual urine,3
abnormalities,52
urinary tract,9
investigated,75
urethroscopy,1
uroflowmetry,1
difficulties,5
community,46
abdominal,9
disorders,43
acquired,11
Relevant,8
required,98
episode,34
voiding,2
Routine,8
focused,26
1 year,68
reveal,6
upper,25
renal,45
abdominal discomfort,1
crossover trial,7
body weight,33
nimodipine,4
parameter,15
carried,39
Group 1,3
Group 2,6
attacks,35
periods,30
wash,3
run,16
torsion of appendix testis,10
Color Doppler ultrasound,2
physical examination,55
testicular torsion,26
physical findings,4
physical finding,2
physical exam,5
epididymitis,14
diagnosing,48
testicular,8
Historical,3
epididymis,4
blood flow,2
testicle,11
erythema,26
scrotum,3
tender,20
reflex,15
color,6
edema,16
biliopancreatic diversion,2
obstructive sleep apnea,18
Obstructive sleep apnea,1
bariatric surgery,11
English language,9
gastric banding,2
hyperlipidemia,16
gastric bypass,13
Hyperlipidemia,1
comorbidities,10
drug therapy,10
gastroplasty,4
indications,47
weight loss,60
overlapping,1
Electronic,5
databases,63
citations,12
Operative,1
diabetes,174
Contents,17
Diabetes,5
obesity,79
30 days,16
manual,25
About,12
obese,39
Sex,2
moderate persistent asthma,1
mild persistent asthma,5
Confidence Interval,5
systemic steroids,1
mild to moderate,20
glucocorticoids,3
adverse effects,102
chronic asthma,5
medication use,9
Relative Risk,3
leukotrienes,7
leukotriene,4
currently,53
nocturnal,10
systemic,35
steroids,16
licensed,5
Airways,9
mcg/day,1
August,23
suffer,11
books,4
Other,41
exact,12
line,69
mcg,7
abnormal uterine bleeding,7
prostaglandin synthetase,1
medroxyprogesterone,8
sexual functioning,5
medical centers,6
physical health,2
dissatisfaction,4
perimenopausal,18
general health,7
premenopausal,14
mental health,6
Health Survey,2
sexual desire,3
hysterectomy,31
progesterone,23
gynecologist,2
satisfaction,35
perceptions,4
gynecology,5
body image,1
Menstrual,8
menopause,13
Component,2
requested,8
improving,26
elective,28
expanded,11
academic,13
distress,7
lacking,13
4 years,19
acetate,9
Summary,6
route,4
Short,12
Item,2
Form,7
PCS,1
sex,55
periodontal disease,2
pharmacotherapeutic,2
nicotine addiction,3
smokeless tobacco,2
Pharmacotherapies,2
oral examination,2
chewing tobacco,2
nicotine patch,4
Effectiveness,6
heterogeneity,58
nicotine gum,2
oral cancer,2
Odds Ratio,4
Addiction,6
bupropion,38
Abstract,2
feedback,5
Tobacco,6
larger,48
lead,32
acute respiratory distress syndrome,1
familial hyperchylomicronemia,1
medium chain triglyceride,1
maintenance treatment,5
hypertriglyceridemia,5
acute pancreatitis,2
alcohol abuse,3
complication,22
uncontrolled,13
pancreatitis,2
fluvastatin,7
acute phase,4
Appropriate,3
aggravated,1
tamoxifen,49
relapses,10
familial,3
acipimox,2
relapsed,1
lipemia,1
dosages,9
origin,12
source,12
drugs,117
died,31
HCM,2
fat,38
oil,5
Hypertriglyceridemia,2
psychological function,1
exercise intervention,1
health care services,5
physical function,8
systematic review,58
strength training,2
physical therapy,18
aerobic exercise,9
muscle strength,4
Sports Medicine,1
bibliographies,38
meta-analyses,27
self efficacy,2
discrepancies,13
pain pressure,1
fibromyalgia,14
Fibromyalgia,2
flexibility,4
instruments,21
Flexibility,1
description,6
sufficient,33
body pain,1
endurance,2
standards,7
estimates,44
alternate,6
intensity,70
frequent,56
Exercise,10
training,55
stimulus,5
strength,23
physical,37
Strength,2
Research,28
reviews,67
meeting,20
College,7
minimum,22
fatigue,41
mixture,9
global,61
detail,3
poorly,19
muscle,14
leads,12
allow,15
Poor,3
mode,10
FMS,16
van,1
Disagreements,3
review of literature,14
augmentation of labor,2
evening primrose oil,5
uterine contractions,1
Evening primrose oil,2
herbal preparations,18
level of education,1
red raspberry leaf,1
cervical ripening,11
precipitous labor,1
national survey,1
incomplete data,2
birthing center,1
nurse-midwives,2
Nurse-Midwives,1
folk remedies,6
professional,5
black cohosh,1
publications,17
Seventy-five,3
respondents,6
blue cohosh,9
discussions,2
castor oil,1
substances,7
Sixty-nine,2
prescribed,66
Twenty-one,4
Castor oil,1
induction,15
midwifery,8
educating,1
relations,4
curricula,1
document,20
students,5
vomiting,25
members,20
deliver,7
learned,3
clients,2
pitocin,1
mailed,9
nausea,9
labor,44
nurse,6
blank,1
herbal preparation,7
glucose tolerance tests,3
glucose intolerance,3
glucosamine sulfate,3
Glucosamine sulfate,1
Glycated hemoglobin,1
plasma glucose,8
serum insulin,5
blood glucose,10
double blind,12
glucosamine,57
chondroitin,16
blood sugar,4
completion,12
ingested,4
dextrose,1
Healthy,7
worsen,12
hour,48
OGTT,3
hormone replacement therapy,15
postmenopausal bleeding,7
endometrial thickening,1
atypical hyperplasia,3
endometrial sampling,2
hormone replacement,3
endometrial biopsy,5
endometrial cancer,13
vaginal bleeding,9
abnormal result,3
Postmenopausal,4
Endovaginal,2
Literature,6
thresholds,6
histology,10
language,59
problem,34
English,41
pretest,14
polyp,3
toxic epidermal necrolysis,2
hypersensitivity syndrome,4
allergic reactions,5
thiazide diuretics,2
Adverse reactions,1
adverse reactions,7
adverse reaction,4
immune responses,1
antimicrobials,11
immunoglobulin,2
sulfa allergy,2
hydroxylamine,1
documentation,8
sulfonamides,4
sulphonamide,1
case reports,12
sulfonamide,33
susceptible,9
conflicting,22
containing,52
furosemide,4
metabolite,3
metabolism,15
Celecoxib,5
component,29
celecoxib,29
cytotoxic,1
chemistry,2
pyrazole,1
compound,1
aromatic,4
position,14
division,1
mediated,9
contain,14
balance,13
amines,2
amine,5
Cross,8
ring,13
skin,46
IgE,1
metabolic studies,1
protein intake,3
dairy products,4
prophylactic,40
relationship,64
Rheumatology,3
consumption,40
association,105
documented,45
vegetables,7
seafood,2
protein,18
purine,3
raised,35
Higher,10
foods,36
gout,18
rich,13
base,55
Diet,4
food,27
meat,4
elevated liver enzymes,5
steatohepatitis,3
hepatotoxicity,12
transaminases,2
liver enzymes,6
elevations,31
elevated,100
cohorts,11
enzymes,7
statin,85
cohort,96
Statin,4
liver,16
AST,7
ALT,6
high temperature,3
ear discharge,1
Immediate,2
10 years,35
72 hours,6
Distress,1
Addition,2
Primary,24
delayed,29
doctor,7
night,36
cough,66
Night,2
saw,4
non-alcoholic fatty liver,1
hypercholesterolemia,18
omega-3 fatty acids,2
infiltration,2
liver biopsy,1
atorvastatin,34
fatty liver,2
overweight,76
orlistat,2
hepatic,7
Group A,7
Group B,5
Group C,4
marked,33
lipid,65
Serum,17
Fredrickson type,1
transaminase,10
randomized clinical trials,12
systolic blood pressure,23
longitudinal studies,1
low blood pressure,3
antihypertensive,25
pulse pressure,3
hypertensive,57
Population,6
Diastolic,1
J-shaped,8
persons,125
Similar,17
yearly,10
health care system,4
health care costs,2
economic impact,1
care hospital,4
simultaneous,13
tertiary,10
Canadian,10
markedly,13
conclude,28
recent,64
venous,55
Canada,10
VTE,18
acute myocardial infarction,10
myocardial perfusion,7
coronary angiography,2
disease progression,1
cost-effectiveness,38
physical exercise,1
Regular exercise,1
Cardiovascular,6
male patients,10
oxygen uptake,1
angioplasty,13
20 minutes,4
efficiency,7
worsening,17
resulting,31
ergometry,1
stenting,2
cardiac,22
bicycle,1
expense,3
Society,16
stable,31
retard,1
class,46
event,52
Cost,6
revascularizations,1
irritable bowel syndrome,38
primary care physician,3
abdominal symptoms,2
symptom severity,6
self-help group,1
